instance_id,instance_relpath,data_relpath_1
2008_pentominoes-int_pentominoes-int_06,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/06.dzn
2008_pentominoes-int_pentominoes-int_07,2008/pentominoes-int/pentominoes-int.mzn,2008/pentominoes-int/07.dzn
2008_quasigroup7_quasigroup7_05,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/05.dzn
2008_quasigroup7_quasigroup7_06,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/06.dzn
2008_quasigroup7_quasigroup7_07,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/07.dzn
2008_quasigroup7_quasigroup7_08,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/08.dzn
2008_quasigroup7_quasigroup7_09,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/09.dzn
2008_quasigroup7_quasigroup7_10,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/10.dzn
2008_quasigroup7_quasigroup7_11,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/11.dzn
2008_quasigroup7_quasigroup7_12,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/12.dzn
2008_quasigroup7_quasigroup7_13,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/13.dzn
2008_quasigroup7_quasigroup7_14,2008/quasigroup7/quasigroup7.mzn,2008/quasigroup7/14.dzn
2008_radiation_radiation_01,2008/radiation/radiation.mzn,2008/radiation/01.dzn
2008_radiation_radiation_02,2008/radiation/radiation.mzn,2008/radiation/02.dzn
2008_radiation_radiation_03,2008/radiation/radiation.mzn,2008/radiation/03.dzn
2008_radiation_radiation_04,2008/radiation/radiation.mzn,2008/radiation/04.dzn
2008_radiation_radiation_05,2008/radiation/radiation.mzn,2008/radiation/05.dzn
2008_radiation_radiation_06,2008/radiation/radiation.mzn,2008/radiation/06.dzn
2008_radiation_radiation_07,2008/radiation/radiation.mzn,2008/radiation/07.dzn
2008_radiation_radiation_08,2008/radiation/radiation.mzn,2008/radiation/08.dzn
2008_radiation_radiation_09,2008/radiation/radiation.mzn,2008/radiation/09.dzn
2008_rcpsp_rcpsp_00,2008/rcpsp/rcpsp.mzn,2008/rcpsp/00.dzn
2008_rcpsp_rcpsp_01,2008/rcpsp/rcpsp.mzn,2008/rcpsp/01.dzn
2008_rcpsp_rcpsp_02,2008/rcpsp/rcpsp.mzn,2008/rcpsp/02.dzn
2008_rcpsp_rcpsp_03,2008/rcpsp/rcpsp.mzn,2008/rcpsp/03.dzn
2008_rcpsp_rcpsp_04,2008/rcpsp/rcpsp.mzn,2008/rcpsp/04.dzn
2008_rcpsp_rcpsp_05,2008/rcpsp/rcpsp.mzn,2008/rcpsp/05.dzn
2008_rcpsp_rcpsp_06,2008/rcpsp/rcpsp.mzn,2008/rcpsp/06.dzn
2008_rcpsp_rcpsp_07,2008/rcpsp/rcpsp.mzn,2008/rcpsp/07.dzn
2008_rcpsp_rcpsp_08,2008/rcpsp/rcpsp.mzn,2008/rcpsp/08.dzn
2008_rcpsp_rcpsp_09,2008/rcpsp/rcpsp.mzn,2008/rcpsp/09.dzn
2008_search_stress_search_stress_04_04,2008/search_stress/search_stress.mzn,2008/search_stress/04_04.dzn
2008_search_stress_search_stress_08_04,2008/search_stress/search_stress.mzn,2008/search_stress/08_04.dzn
2008_search_stress_search_stress_08_08,2008/search_stress/search_stress.mzn,2008/search_stress/08_08.dzn
2008_shortest_path_shortest_path_00,2008/shortest_path/shortest_path.mzn,2008/shortest_path/00.dzn
2008_shortest_path_shortest_path_01,2008/shortest_path/shortest_path.mzn,2008/shortest_path/01.dzn
2008_shortest_path_shortest_path_02,2008/shortest_path/shortest_path.mzn,2008/shortest_path/02.dzn
2008_shortest_path_shortest_path_03,2008/shortest_path/shortest_path.mzn,2008/shortest_path/03.dzn
2008_shortest_path_shortest_path_04,2008/shortest_path/shortest_path.mzn,2008/shortest_path/04.dzn
2008_shortest_path_shortest_path_05,2008/shortest_path/shortest_path.mzn,2008/shortest_path/05.dzn
2008_shortest_path_shortest_path_06,2008/shortest_path/shortest_path.mzn,2008/shortest_path/06.dzn
2008_shortest_path_shortest_path_07,2008/shortest_path/shortest_path.mzn,2008/shortest_path/07.dzn
2008_shortest_path_shortest_path_08,2008/shortest_path/shortest_path.mzn,2008/shortest_path/08.dzn
2008_shortest_path_shortest_path_09,2008/shortest_path/shortest_path.mzn,2008/shortest_path/09.dzn
2008_slow_convergence_slow_convergence_0100,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0100.dzn
2008_slow_convergence_slow_convergence_0200,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0200.dzn
2008_slow_convergence_slow_convergence_0300,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0300.dzn
2008_slow_convergence_slow_convergence_0400,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0400.dzn
2008_slow_convergence_slow_convergence_0500,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0500.dzn
2008_slow_convergence_slow_convergence_0600,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0600.dzn
2008_slow_convergence_slow_convergence_0700,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0700.dzn
2008_slow_convergence_slow_convergence_0800,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0800.dzn
2008_slow_convergence_slow_convergence_0900,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/0900.dzn
2008_slow_convergence_slow_convergence_1000,2008/slow_convergence/slow_convergence.mzn,2008/slow_convergence/1000.dzn
2008_trucking_trucking_01,2008/trucking/trucking.mzn,2008/trucking/01.dzn
2008_trucking_trucking_02,2008/trucking/trucking.mzn,2008/trucking/02.dzn
2008_trucking_trucking_03,2008/trucking/trucking.mzn,2008/trucking/03.dzn
2008_trucking_trucking_04,2008/trucking/trucking.mzn,2008/trucking/04.dzn
2008_trucking_trucking_05,2008/trucking/trucking.mzn,2008/trucking/05.dzn
2008_trucking_trucking_06,2008/trucking/trucking.mzn,2008/trucking/06.dzn
2008_trucking_trucking_07,2008/trucking/trucking.mzn,2008/trucking/07.dzn
2008_trucking_trucking_08,2008/trucking/trucking.mzn,2008/trucking/08.dzn
2008_trucking_trucking_09,2008/trucking/trucking.mzn,2008/trucking/09.dzn
2008_trucking_trucking_10,2008/trucking/trucking.mzn,2008/trucking/10.dzn
2008_trucking_trucking_11,2008/trucking/trucking.mzn,2008/trucking/11.dzn
2008_trucking_trucking_12,2008/trucking/trucking.mzn,2008/trucking/12.dzn
2008_trucking_trucking_13,2008/trucking/trucking.mzn,2008/trucking/13.dzn
2008_trucking_trucking_14,2008/trucking/trucking.mzn,2008/trucking/14.dzn
2008_trucking_trucking_15,2008/trucking/trucking.mzn,2008/trucking/15.dzn
2009_black-hole_black-hole_01,2009/black-hole/black-hole.mzn,2009/black-hole/01.dzn
2009_black-hole_black-hole_03,2009/black-hole/black-hole.mzn,2009/black-hole/03.dzn
2009_black-hole_black-hole_05,2009/black-hole/black-hole.mzn,2009/black-hole/05.dzn
2009_black-hole_black-hole_07,2009/black-hole/black-hole.mzn,2009/black-hole/07.dzn
2009_black-hole_black-hole_09,2009/black-hole/black-hole.mzn,2009/black-hole/09.dzn
2009_black-hole_black-hole_11,2009/black-hole/black-hole.mzn,2009/black-hole/11.dzn
2009_black-hole_black-hole_13,2009/black-hole/black-hole.mzn,2009/black-hole/13.dzn
2009_black-hole_black-hole_15,2009/black-hole/black-hole.mzn,2009/black-hole/15.dzn
2009_black-hole_black-hole_17,2009/black-hole/black-hole.mzn,2009/black-hole/17.dzn
2009_black-hole_black-hole_19,2009/black-hole/black-hole.mzn,2009/black-hole/19.dzn
2009_fillomino_fillomino_08,2009/fillomino/fillomino.mzn,2009/fillomino/08.dzn
2009_fillomino_fillomino_11,2009/fillomino/fillomino.mzn,2009/fillomino/11.dzn
2009_fillomino_fillomino_13,2009/fillomino/fillomino.mzn,2009/fillomino/13.dzn
2009_fillomino_fillomino_14,2009/fillomino/fillomino.mzn,2009/fillomino/14.dzn
2009_fillomino_fillomino_15,2009/fillomino/fillomino.mzn,2009/fillomino/15.dzn
2009_fillomino_fillomino_16,2009/fillomino/fillomino.mzn,2009/fillomino/16.dzn
2009_fillomino_fillomino_17,2009/fillomino/fillomino.mzn,2009/fillomino/17.dzn
2009_fillomino_fillomino_18,2009/fillomino/fillomino.mzn,2009/fillomino/18.dzn
2009_fillomino_fillomino_20,2009/fillomino/fillomino.mzn,2009/fillomino/20.dzn
2009_fillomino_fillomino_21,2009/fillomino/fillomino.mzn,2009/fillomino/21.dzn
2009_nonogram_non_non_awful_2,2009/nonogram/non.mzn,2009/nonogram/non_awful_2.dzn
2009_nonogram_non_non_awful_4,2009/nonogram/non.mzn,2009/nonogram/non_awful_4.dzn
2009_nonogram_non_non_fast_1,2009/nonogram/non.mzn,2009/nonogram/non_fast_1.dzn
2009_nonogram_non_non_fast_10,2009/nonogram/non.mzn,2009/nonogram/non_fast_10.dzn
2009_nonogram_non_non_fast_11,2009/nonogram/non.mzn,2009/nonogram/non_fast_11.dzn
2009_nonogram_non_non_fast_5,2009/nonogram/non.mzn,2009/nonogram/non_fast_5.dzn
2009_nonogram_non_non_fast_7,2009/nonogram/non.mzn,2009/nonogram/non_fast_7.dzn
2009_nonogram_non_non_fast_9,2009/nonogram/non.mzn,2009/nonogram/non_fast_9.dzn
2009_nonogram_non_non_med_2,2009/nonogram/non.mzn,2009/nonogram/non_med_2.dzn
2009_nonogram_non_non_med_4,2009/nonogram/non.mzn,2009/nonogram/non_med_4.dzn
2009_open_stacks_open_stacks_01_gp50by50_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/gp50by50_1.dzn
2009_open_stacks_open_stacks_01_nrwsLarger4_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/nrwsLarger4_1.dzn
2009_open_stacks_open_stacks_01_problem_15_15_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/problem_15_15_1.dzn
2009_open_stacks_open_stacks_01_problem_20_10_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/problem_20_10_1.dzn
2009_open_stacks_open_stacks_01_wbo_15_30_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/wbo_15_30_1.dzn
2009_open_stacks_open_stacks_01_wbo_30_15_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/wbo_30_15_1.dzn
2009_open_stacks_open_stacks_01_wbo_30_30_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/wbo_30_30_1.dzn
2009_open_stacks_open_stacks_01_wbop_20_10_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/wbop_20_10_1.dzn
2009_open_stacks_open_stacks_01_wbp_20_10_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/wbp_20_10_1.dzn
2009_open_stacks_open_stacks_01_wbp_30_10_1,2009/open_stacks/open_stacks_01.mzn,2009/open_stacks/wbp_30_10_1.dzn
2009_p1f_p1f_03,2009/p1f/p1f.mzn,2009/p1f/03.dzn
2009_p1f_p1f_04,2009/p1f/p1f.mzn,2009/p1f/04.dzn
2009_p1f_p1f_05,2009/p1f/p1f.mzn,2009/p1f/05.dzn
2009_p1f_p1f_06,2009/p1f/p1f.mzn,2009/p1f/06.dzn
2009_p1f_p1f_07,2009/p1f/p1f.mzn,2009/p1f/07.dzn
2009_p1f_p1f_08,2009/p1f/p1f.mzn,2009/p1f/08.dzn
2009_p1f_p1f_09,2009/p1f/p1f.mzn,2009/p1f/09.dzn
2009_p1f_p1f_10,2009/p1f/p1f.mzn,2009/p1f/10.dzn
2009_p1f_p1f_11,2009/p1f/p1f.mzn,2009/p1f/11.dzn
2009_p1f_p1f_12,2009/p1f/p1f.mzn,2009/p1f/12.dzn
2009_prop_stress_prop_stress_0100,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0100.dzn
2009_prop_stress_prop_stress_0200,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0200.dzn
2009_prop_stress_prop_stress_0300,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0300.dzn
2009_prop_stress_prop_stress_0400,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0400.dzn
2009_prop_stress_prop_stress_0500,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0500.dzn
2009_prop_stress_prop_stress_0600,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0600.dzn
2009_prop_stress_prop_stress_0700,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0700.dzn
2009_prop_stress_prop_stress_0800,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0800.dzn
2009_prop_stress_prop_stress_0900,2009/prop_stress/prop_stress.mzn,2009/prop_stress/0900.dzn
2009_prop_stress_prop_stress_1000,2009/prop_stress/prop_stress.mzn,2009/prop_stress/1000.dzn
2009_rectangle-packing_rect_packing_rpp05_true,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp05_true.dzn
2009_rectangle-packing_rect_packing_rpp09_false,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp09_false.dzn
2009_rectangle-packing_rect_packing_rpp12_true,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp12_true.dzn
2009_rectangle-packing_rect_packing_rpp14_false,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp14_false.dzn
2009_rectangle-packing_rect_packing_rpp15_true,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp15_true.dzn
2009_rectangle-packing_rect_packing_rpp19_false,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp19_false.dzn
2009_rectangle-packing_rect_packing_rpp22_true,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp22_true.dzn
2009_rectangle-packing_rect_packing_rpp24_false,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp24_false.dzn
2009_rectangle-packing_rect_packing_rpp26_true,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp26_true.dzn
2009_rectangle-packing_rect_packing_rpp30_false,2009/rectangle-packing/rect_packing.mzn,2009/rectangle-packing/rpp30_false.dzn
2009_roster_roster_model_chicroster_dataset_11,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_11.dzn
2009_roster_roster_model_chicroster_dataset_14,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_14.dzn
2009_roster_roster_model_chicroster_dataset_17,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_17.dzn
2009_roster_roster_model_chicroster_dataset_3,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_3.dzn
2009_roster_roster_model_chicroster_dataset_5,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_5.dzn
2009_roster_roster_model_chicroster_dataset_7,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_7.dzn
2009_roster_roster_model_chicroster_dataset_8,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_8.dzn
2009_roster_roster_model_chicroster_dataset_large_13,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_large_13.dzn
2009_roster_roster_model_chicroster_dataset_large_15,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_large_15.dzn
2009_roster_roster_model_chicroster_dataset_large_19,2009/roster/roster_model.mzn,2009/roster/chicroster_dataset_large_19.dzn
2009_search_stress2_search_stress2_02_07,2009/search_stress2/search_stress2.mzn,2009/search_stress2/02_07.dzn
2009_search_stress2_search_stress2_03_06,2009/search_stress2/search_stress2.mzn,2009/search_stress2/03_06.dzn
2009_search_stress2_search_stress2_04_05,2009/search_stress2/search_stress2.mzn,2009/search_stress2/04_05.dzn
2009_search_stress2_search_stress2_04_06,2009/search_stress2/search_stress2.mzn,2009/search_stress2/04_06.dzn
2009_search_stress2_search_stress2_05_05,2009/search_stress2/search_stress2.mzn,2009/search_stress2/05_05.dzn
2009_search_stress2_search_stress2_05_06,2009/search_stress2/search_stress2.mzn,2009/search_stress2/05_06.dzn
2009_search_stress2_search_stress2_06_04,2009/search_stress2/search_stress2.mzn,2009/search_stress2/06_04.dzn
2009_search_stress2_search_stress2_06_05,2009/search_stress2/search_stress2.mzn,2009/search_stress2/06_05.dzn
2009_search_stress2_search_stress2_06_06,2009/search_stress2/search_stress2.mzn,2009/search_stress2/06_06.dzn
2009_search_stress2_search_stress2_07_02,2009/search_stress2/search_stress2.mzn,2009/search_stress2/07_02.dzn
2009_still_life_still_life_still_life_5,2009/still_life/still_life.mzn,2009/still_life/still_life_5.dzn
2009_still_life_still_life_still_life_6,2009/still_life/still_life.mzn,2009/still_life/still_life_6.dzn
2009_still_life_still_life_still_life_7,2009/still_life/still_life.mzn,2009/still_life/still_life_7.dzn
2009_still_life_still_life_still_life_9,2009/still_life/still_life.mzn,2009/still_life/still_life_9.dzn
2009_vrp_vrp_A-n34-k5.vrp,2009/vrp/vrp.mzn,2009/vrp/A-n34-k5.vrp.dzn
2009_vrp_vrp_A-n44-k7.vrp,2009/vrp/vrp.mzn,2009/vrp/A-n44-k7.vrp.dzn
2009_vrp_vrp_A-n55-k9.vrp,2009/vrp/vrp.mzn,2009/vrp/A-n55-k9.vrp.dzn
2009_vrp_vrp_A-n65-k9.vrp,2009/vrp/vrp.mzn,2009/vrp/A-n65-k9.vrp.dzn
2009_vrp_vrp_B-n39-k5.vrp,2009/vrp/vrp.mzn,2009/vrp/B-n39-k5.vrp.dzn
2009_vrp_vrp_B-n50-k8.vrp,2009/vrp/vrp.mzn,2009/vrp/B-n50-k8.vrp.dzn
2009_vrp_vrp_B-n64-k9.vrp,2009/vrp/vrp.mzn,2009/vrp/B-n64-k9.vrp.dzn
2009_vrp_vrp_P-n19-k2.vrp,2009/vrp/vrp.mzn,2009/vrp/P-n19-k2.vrp.dzn
2009_vrp_vrp_P-n45-k5.vrp,2009/vrp/vrp.mzn,2009/vrp/P-n45-k5.vrp.dzn
2009_vrp_vrp_P-n55-k7.vrp,2009/vrp/vrp.mzn,2009/vrp/P-n55-k7.vrp.dzn
2010_bacp_bacp-1,2010/bacp/bacp-1.mzn,
2010_bacp_bacp-10,2010/bacp/bacp-10.mzn,
2010_bacp_bacp-11,2010/bacp/bacp-11.mzn,
2010_bacp_bacp-12,2010/bacp/bacp-12.mzn,
2010_bacp_bacp-14,2010/bacp/bacp-14.mzn,
2010_bacp_bacp-16,2010/bacp/bacp-16.mzn,
2010_bacp_bacp-18,2010/bacp/bacp-18.mzn,
2010_bacp_bacp-2,2010/bacp/bacp-2.mzn,
2010_bacp_bacp-21,2010/bacp/bacp-21.mzn,
2010_bacp_bacp-23,2010/bacp/bacp-23.mzn,
2010_bacp_bacp-25,2010/bacp/bacp-25.mzn,
2010_bacp_bacp-27,2010/bacp/bacp-27.mzn,
2010_bacp_bacp-4,2010/bacp/bacp-4.mzn,
2010_bacp_bacp-6,2010/bacp/bacp-6.mzn,
2010_bacp_bacp-8,2010/bacp/bacp-8.mzn,
2010_costas_array_CostasArray_14,2010/costas_array/CostasArray.mzn,2010/costas_array/14.dzn
2010_costas_array_CostasArray_15,2010/costas_array/CostasArray.mzn,2010/costas_array/15.dzn
2010_costas_array_CostasArray_16,2010/costas_array/CostasArray.mzn,2010/costas_array/16.dzn
2010_costas_array_CostasArray_17,2010/costas_array/CostasArray.mzn,2010/costas_array/17.dzn
2010_costas_array_CostasArray_19,2010/costas_array/CostasArray.mzn,2010/costas_array/19.dzn
2010_depot_placement_depot_placement_a280_4,2010/depot_placement/depot_placement.mzn,2010/depot_placement/a280_4.dzn
2010_depot_placement_depot_placement_a280_6,2010/depot_placement/depot_placement.mzn,2010/depot_placement/a280_6.dzn
2010_depot_placement_depot_placement_att48_5,2010/depot_placement/depot_placement.mzn,2010/depot_placement/att48_5.dzn
2010_depot_placement_depot_placement_rat99_4,2010/depot_placement/depot_placement.mzn,2010/depot_placement/rat99_4.dzn
2010_depot_placement_depot_placement_rat99_5,2010/depot_placement/depot_placement.mzn,2010/depot_placement/rat99_5.dzn
2010_depot_placement_depot_placement_rat99_6,2010/depot_placement/depot_placement.mzn,2010/depot_placement/rat99_6.dzn
2010_depot_placement_depot_placement_st70_4,2010/depot_placement/depot_placement.mzn,2010/depot_placement/st70_4.dzn
2010_depot_placement_depot_placement_st70_5,2010/depot_placement/depot_placement.mzn,2010/depot_placement/st70_5.dzn
2010_depot_placement_depot_placement_st70_6,2010/depot_placement/depot_placement.mzn,2010/depot_placement/st70_6.dzn
2010_depot_placement_depot_placement_ts225_5,2010/depot_placement/depot_placement.mzn,2010/depot_placement/ts225_5.dzn
2010_depot_placement_depot_placement_u159_4,2010/depot_placement/depot_placement.mzn,2010/depot_placement/u159_4.dzn
2010_depot_placement_depot_placement_u159_6,2010/depot_placement/depot_placement.mzn,2010/depot_placement/u159_6.dzn
2010_depot_placement_depot_placement_ulysses16_5,2010/depot_placement/depot_placement.mzn,2010/depot_placement/ulysses16_5.dzn
2010_depot_placement_depot_placement_ulysses22_4,2010/depot_placement/depot_placement.mzn,2010/depot_placement/ulysses22_4.dzn
2010_depot_placement_depot_placement_ulysses22_6,2010/depot_placement/depot_placement.mzn,2010/depot_placement/ulysses22_6.dzn
2010_filters_filter_ar_1_1,2010/filters/filter.mzn,2010/filters/ar_1_1.dzn
2010_filters_filter_ar_1_3,2010/filters/filter.mzn,2010/filters/ar_1_3.dzn
2010_filters_filter_ar_2_4,2010/filters/filter.mzn,2010/filters/ar_2_4.dzn
2010_filters_filter_dct_1_2,2010/filters/filter.mzn,2010/filters/dct_1_2.dzn
2010_filters_filter_dct_2_3,2010/filters/filter.mzn,2010/filters/dct_2_3.dzn
2010_filters_filter_dct_3_4,2010/filters/filter.mzn,2010/filters/dct_3_4.dzn
2010_filters_filter_ewf_4_3,2010/filters/filter.mzn,2010/filters/ewf_4_3.dzn
2010_filters_filter_fir16_1_2,2010/filters/filter.mzn,2010/filters/fir16_1_2.dzn
2010_filters_filter_fir_1_2,2010/filters/filter.mzn,2010/filters/fir_1_2.dzn
2010_filters_filter_fir_2_2,2010/filters/filter.mzn,2010/filters/fir_2_2.dzn
2010_ghoulomb_ghoulomb_3-10-20,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/3-10-20.dzn
2010_ghoulomb_ghoulomb_3-7-20,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/3-7-20.dzn
2010_ghoulomb_ghoulomb_3-8-20,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/3-8-20.dzn
2010_ghoulomb_ghoulomb_3-9-16,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/3-9-16.dzn
2010_ghoulomb_ghoulomb_4-10-16,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/4-10-16.dzn
2010_ghoulomb_ghoulomb_4-7-16,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/4-7-16.dzn
2010_ghoulomb_ghoulomb_4-8-16,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/4-8-16.dzn
2010_ghoulomb_ghoulomb_4-9-10,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/4-9-10.dzn
2010_ghoulomb_ghoulomb_4-9-14,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/4-9-14.dzn
2010_ghoulomb_ghoulomb_4-9-18,2010/ghoulomb/ghoulomb.mzn,2010/ghoulomb/4-9-18.dzn
2010_grid_colouring_GridColoring_10_10,2010/grid_colouring/GridColoring.mzn,2010/grid_colouring/10_10.dzn
2010_grid_colouring_GridColoring_12_13,2010/grid_colouring/GridColoring.mzn,2010/grid_colouring/12_13.dzn
2010_grid_colouring_GridColoring_15_16,2010/grid_colouring/GridColoring.mzn,2010/grid_colouring/15_16.dzn
2010_grid_colouring_GridColoring_5_6,2010/grid_colouring/GridColoring.mzn,2010/grid_colouring/5_6.dzn
2010_grid_colouring_GridColoring_7_8,2010/grid_colouring/GridColoring.mzn,2010/grid_colouring/7_8.dzn
2010_rcpsp_max_rcpsp_max_psp_c_314,2010/rcpsp_max/rcpsp_max.mzn,2010/rcpsp_max/psp_c_314.dzn
2010_rcpsp_max_rcpsp_max_psp_c_51,2010/rcpsp_max/rcpsp_max.mzn,2010/rcpsp_max/psp_c_51.dzn
2010_rcpsp_max_rcpsp_max_psp_d_244,2010/rcpsp_max/rcpsp_max.mzn,2010/rcpsp_max/psp_d_244.dzn
2010_rcpsp_max_rcpsp_max_psp_d_335,2010/rcpsp_max/rcpsp_max.mzn,2010/rcpsp_max/psp_d_335.dzn
2010_rcpsp_max_rcpsp_max_psp_j20_34,2010/rcpsp_max/rcpsp_max.mzn,2010/rcpsp_max/psp_j20_34.dzn
