
ACE v2.6 

  instance
    name:SameQueensKnights-b-25_c24
    args:/work/19333037_787/SameQueensKnights-b-25_c24.xml -rr=true -rlog=false -npc=true

 ...Parsing /work/19333037_787/SameQueensKnights-b-25_c24.xml

 ...Loading variables

 ...Loading constraints

  domains
    types:21  values:113,709  sizes:[2:1250,3:625,5:4,7:8...181:24,185:16,189:8,193:1]
  variables
    count:3,127  auxiliary:1,250  arrays:[x:625,aux_gb:1250,_ax_:1250]  degrees:[2:2500,3:2,78:4,79:8...102:24,104:16,106:8,108:1]
  constraints
    count:3,754  specific:3,754  postponable:2  groups:2  arities:[2:2502,3:4,4:8,5:88...93:16,95:8,97:1,626:2]
    objective:[SumSimpleGE,SumSimpleLE]
    non_unary:[LogicTree:1250,Reif2EQ:1250,STR0a-Table:12,SumWeightedEQ:1240]
    tables:[9:4,27:8]  tuples:252
    extStructures:(12,shared:0)
    wck:1.14  cpu:1.533  mem:671M88
  objective
    way:max  type:SumSimpleGE  arity:2  bounds:0..50

 ...Building solver

  solver
    nNotAC:1,240  decoder:Decoder1
    wck:1.22  cpu:1.601  mem:721M420

  preprocessing
    entailed:2  values:113,709  unsat:false
    wck:0.011  cpu:1.613  mem:721M420

  search
o 0   1.51  ham=0 (0 0 0 0)  opth=0
o 1   1.51  ham=77 (1 74 1 1)  opth=1
o 2   1.52  ham=131 (2 124 2 3)  opth=2
o 3   1.52  ham=79 (1 76 1 1)  opth=1
o 4   1.53  ham=79 (1 76 1 1)  opth=1
o 5   1.53  ham=79 (1 76 1 1)  opth=1
o 6   1.54  ham=79 (1 76 1 1)  opth=1
o 7   1.54  ham=79 (1 76 1 1)  opth=1
o 8   1.55  ham=79 (1 76 1 1)  opth=1
o 9   1.55  ham=79 (1 76 1 1)  opth=1
o 10   1.56  ham=79 (1 76 1 1)  opth=1
    run1  dpts:615..625  robin:PickOnDom-First  effs:64,282  asgs:(653,noefs=0,fails=9)  fails:9  wrgs:10  wck:0.34  ngds:2  sols:11  bounds:11..50
o 25   2.14  ham=696 (35 625 1 35)  opth=1
o 26   2.26  ham=194 (3 187 1 3)  opth=1
o 27   2.76  ham=380 (8 362 1 9)  opth=1
o 28   2.88  ham=474 (13 447 1 13)  opth=1
o 29   3.01  ham=294 (11 271 1 11)  opth=1
    run2  dpts:20..29  robin:WdegOnDom-Last  effs:417,996  asgs:(159,noefs=3,fails=50)  fails:59  wrgs:89  wck:2.02  ngds:9  sols:16  bounds:30..50
o 30   3.37  ham=874 (56 759 2 57)  opth=2
o 31   3.39  ham=424 (10 401 2 11)  opth=2
o 32   3.39  ham=221 (3 214 1 3)  opth=1
o 33   3.39  ham=97 (1 94 1 1)  opth=1
    run3  dpts:37..51  robin:FrbaOnDom-Rand  effs:490,907  asgs:(179,noefs=1,fails=50)  fails:109  wrgs:192  wck:2.20  ngds:11  sols:20  bounds:34..50
    run4  dpts:586..610  robin:Wdeg-First  effs:678,534  asgs:(971,noefs=4,fails=50)  fails:159  wrgs:540  wck:2.71  ngds:18  sols:20  bounds:34..50
    run5  dpts:20..30  robin:PickOnDom-Last  effs:791,531  asgs:(117,noefs=1,fails=52)  fails:211  wrgs:603  wck:3.31  ngds:25  sols:20  bounds:34..50
    run6  dpts:32..58  robin:WdegOnDom-Rand  effs:865,335  asgs:(190,noefs=1,fails=55)  fails:266  wrgs:702  wck:3.46  ngds:30  sols:20  bounds:34..50
    run7  dpts:1187..1209  robin:FrbaOnDom-First  effs:1,017,917  asgs:(1409,noefs=3,fails=57)  fails:323  wrgs:892  wck:4.02  ngds:35  sols:20  bounds:34..50
    run8  dpts:23..32  robin:Wdeg-Last  effs:1,139,346  asgs:(151,noefs=2,fails=60)  fails:383  wrgs:963  wck:4.70  ngds:53  sols:20  bounds:34..50
    run9  dpts:54..72  robin:PickOnDom-Rand  effs:1,478,478  asgs:(197,noefs=7,fails=63)  fails:446  wrgs:1,070  wck:5.98  ngds:64  sols:20  bounds:34..50
    run10  dpts:1200..1214  robin:WdegOnDom-First  effs:1,647,105  asgs:(1441,noefs=0,fails=67)  fails:513  wrgs:1,252  wck:6.44  ngds:69  sols:20  bounds:34..50
    run11  dpts:20..32  robin:FrbaOnDom-Last  effs:1,714,375  asgs:(158,noefs=17,fails=70)  fails:583  wrgs:1,365  wck:6.59  ngds:85  sols:20  bounds:34..50
    run12  dpts:24..37  robin:Wdeg-Rand  effs:1,761,400  asgs:(238,noefs=4,fails=73)  fails:656  wrgs:1,503  wck:6.76  ngds:89  sols:20  bounds:34..50
    run13  dpts:633..646  robin:PickOnDom-First  effs:1,930,456  asgs:(899,noefs=9,fails=77)  fails:733  wrgs:1,749  wck:7.15  ngds:91  sols:20  bounds:34..50
 ...Starting SOS
o 34   8.50  ham=83 (1 80 1 1)  opth=1
o 36   8.52  ham=289 (6 276 1 6)  opth=1
o 38   8.53  ham=238 (4 228 2 4)  opth=2
o 39   8.53  ham=79 (1 76 1 1)  opth=1
o 40   8.53  ham=79 (1 76 1 1)  opth=1
    run14  dpts:139..165  robin:WdegOnDom-Last  effs:2,037,377  asgs:(405,noefs=16,fails=81)  fails:814  wrgs:1,918  wck:7.41  ngds:94  sols:25  bounds:41..50
    run15  dpts:135..160  robin:FrbaOnDom-Rand  effs:2,096,802  asgs:(243,noefs=13,fails=50)  fails:864  wrgs:2,007  wck:7.64  ngds:103  sols:25  bounds:41..50
    run16  dpts:132..149  robin:Wdeg-First  effs:2,174,167  asgs:(274,noefs=5,fails=52)  fails:916  wrgs:2,106  wck:7.87  ngds:106  sols:25  bounds:41..50
    run17  dpts:181..201  robin:PickOnDom-Last  effs:2,269,500  asgs:(316,noefs=20,fails=55)  fails:971  wrgs:2,216  wck:8.20  ngds:110  sols:25  bounds:41..50
    run47  dpts:41..54  robin:FrbaOnDom-Last  effs:5,831,915  asgs:(215,noefs=30,fails=98)  fails:3,282  wrgs:6,938  wck:17.7  ngds:313  sols:26  bounds:42..50
    run48  dpts:46..64  robin:Wdeg-Rand  effs:5,999,816  asgs:(331,noefs=0,fails=103)  fails:3,385  wrgs:7,159  wck:18.1  ngds:318  sols:26  bounds:42..50
    run49  dpts:31..49  robin:PickOnDom-First  effs:6,129,585  asgs:(288,noefs=0,fails=109)  fails:3,494  wrgs:7,367  wck:18.3  ngds:324  sols:26  bounds:42..50
    run50  dpts:1004..1021  robin:WdegOnDom-Last  effs:6,401,644  asgs:(1330,noefs=11,fails=114)  fails:3,608  wrgs:7,583  wck:18.9  ngds:331  sols:26  bounds:42..50
    run51  dpts:36..66  robin:FrbaOnDom-Rand  effs:6,517,401  asgs:(311,noefs=29,fails=120)  fails:3,728  wrgs:7,818  wck:19.3  ngds:336  sols:26  bounds:42..50
    run52  dpts:42..54  robin:Wdeg-First  effs:6,702,949  asgs:(345,noefs=0,fails=126)  fails:3,854  wrgs:8,071  wck:19.6  ngds:342  sols:26  bounds:42..50
    run53  dpts:46..56  robin:PickOnDom-Last  effs:6,825,092  asgs:(305,noefs=11,fails=132)  fails:3,986  wrgs:8,243  wck:20.0  ngds:348  sols:26  bounds:42..50
    run54  dpts:953..1065  robin:WdegOnDom-Rand  effs:7,136,742  asgs:(1483,noefs=0,fails=139)  fails:4,125  wrgs:8,645  wck:20.9  ngds:349  sols:26  bounds:42..50
    run55  dpts:35..61  robin:FrbaOnDom-First  effs:7,287,756  asgs:(379,noefs=21,fails=146)  fails:4,271  wrgs:8,951  wck:21.4  ngds:359  sols:26  bounds:42..50
    run56  dpts:38..55  robin:Wdeg-Last  effs:7,492,339  asgs:(425,noefs=2,fails=153)  fails:4,424  wrgs:9,223  wck:21.9  ngds:365  sols:26  bounds:42..50
    run57  dpts:29..48  robin:PickOnDom-Rand  effs:7,708,505  asgs:(450,noefs=1,fails=161)  fails:4,585  wrgs:9,556  wck:22.4  ngds:372  sols:26  bounds:42..50
    run58  dpts:76..106  robin:WdegOnDom-First  effs:8,179,287  asgs:(688,noefs=1,fails=169)  fails:4,754  wrgs:10,017  wck:23.1  ngds:379  sols:26  bounds:42..50
    run59  dpts:40..69  robin:FrbaOnDom-Last  effs:8,335,155  asgs:(419,noefs=9,fails=177)  fails:4,931  wrgs:10,304  wck:23.6  ngds:383  sols:26  bounds:42..50
    run60  dpts:35..47  robin:Wdeg-Rand  effs:8,586,359  asgs:(492,noefs=5,fails=186)  fails:5,117  wrgs:10,676  wck:24.1  ngds:388  sols:26  bounds:42..50
    run61  dpts:24..38  robin:PickOnDom-First  effs:8,843,111  asgs:(555,noefs=0,fails=196)  fails:5,313  wrgs:11,068  wck:24.5  ngds:394  sols:26  bounds:42..50
 ...resetting heuristics data (nValues:113,675 - nSingletons:0 - nEntailed:1)
    run62  dpts:133..154  robin:WdegOnDom-Last  effs:9,169,559  asgs:(746,noefs=0,fails=205)  fails:5,518  wrgs:11,478  wck:25.2  ngds:397  sols:26  bounds:42..50
    run63  dpts:39..97  robin:FrbaOnDom-Rand  effs:9,495,219  asgs:(757,noefs=7,fails=216)  fails:5,734  wrgs:12,068  wck:26.2  ngds:400  sols:26  bounds:42..50
    run64  dpts:133..154  robin:Wdeg-First  effs:9,943,407  asgs:(784,noefs=13,fails=226)  fails:5,960  wrgs:12,643  wck:27.1  ngds:404  sols:26  bounds:42..50
    run65  dpts:136..154  robin:PickOnDom-Last  effs:10,281,104  asgs:(724,noefs=0,fails=238)  fails:6,198  wrgs:13,110  wck:27.7  ngds:413  sols:26  bounds:42..50
    run66  dpts:199..217  robin:WdegOnDom-Rand  effs:10,746,260  asgs:(1002,noefs=0,fails=250)  fails:6,448  wrgs:13,679  wck:28.7  ngds:417  sols:26  bounds:42..50
    run67  dpts:531..546  robin:FrbaOnDom-First  effs:11,053,775  asgs:(1138,noefs=10,fails=262)  fails:6,710  wrgs:14,144  wck:29.3  ngds:426  sols:26  bounds:42..50
    run68  dpts:75..98  robin:Wdeg-Last  effs:11,665,964  asgs:(1000,noefs=3,fails=275)  fails:6,985  wrgs:14,841  wck:30.6  ngds:432  sols:26  bounds:42..50
    run69  dpts:86..113  robin:PickOnDom-Rand  effs:12,149,123  asgs:(1146,noefs=7,fails=289)  fails:7,274  wrgs:15,735  wck:32.1  ngds:441  sols:26  bounds:42..50
    run70  dpts:620..704  robin:WdegOnDom-First  effs:12,690,050  asgs:(1828,noefs=15,fails=304)  fails:7,578  wrgs:16,683  wck:33.1  ngds:446  sols:26  bounds:42..50
    run71  dpts:261..286  robin:FrbaOnDom-Last  effs:12,937,267  asgs:(907,noefs=41,fails=319)  fails:7,897  wrgs:17,168  wck:33.7  ngds:451  sols:26  bounds:42..50
o 42   36.6  ham=629 (26 575 1 27)  opth=1
    run72  dpts:38..83  robin:Wdeg-Rand  effs:13,625,668  asgs:(1056,noefs=7,fails=335)  fails:8,232  wrgs:17,980  wck:35.4  ngds:455  sols:27  bounds:43..50
    run73  dpts:70..93  robin:PickOnDom-First  effs:13,664,251  asgs:(155,noefs=40,fails=50)  fails:8,282  wrgs:18,065  wck:35.5  ngds:456  sols:27  bounds:43..50
    run74  dpts:202..225  robin:WdegOnDom-Last  effs:13,807,283  asgs:(382,noefs=14,fails=52)  fails:8,334  wrgs:18,212  wck:35.8  ngds:461  sols:27  bounds:43..50
    run75  dpts:170..190  robin:FrbaOnDom-Rand  effs:13,887,294  asgs:(314,noefs=5,fails=55)  fails:8,389  wrgs:18,332  wck:36.1  ngds:465  sols:27  bounds:43..50
    run76  dpts:47..58  robin:Wdeg-First  effs:13,982,576  asgs:(215,noefs=6,fails=57)  fails:8,446  wrgs:18,466  wck:36.3  ngds:471  sols:27  bounds:43..50
    run77  dpts:68..84  robin:PickOnDom-Last  effs:14,022,151  asgs:(160,noefs=33,fails=60)  fails:8,506  wrgs:18,550  wck:36.4  ngds:477  sols:27  bounds:43..50
    run78  dpts:242..282  robin:WdegOnDom-Rand  effs:14,209,124  asgs:(475,noefs=4,fails=63)  fails:8,569  wrgs:18,721  wck:36.8  ngds:485  sols:27  bounds:43..50
    run79  dpts:76..98  robin:FrbaOnDom-First  effs:14,300,978  asgs:(236,noefs=24,fails=67)  fails:8,636  wrgs:18,876  wck:37.1  ngds:489  sols:27  bounds:43..50
    run80  dpts:48..57  robin:Wdeg-Last  effs:14,374,979  asgs:(205,noefs=14,fails=70)  fails:8,706  wrgs:18,999  wck:37.3  ngds:496  sols:27  bounds:43..50
    run81  dpts:57..77  robin:PickOnDom-Rand  effs:14,457,128  asgs:(216,noefs=21,fails=73)  fails:8,779  wrgs:19,143  wck:37.5  ngds:499  sols:27  bounds:43..50
    run82  dpts:290..337  robin:WdegOnDom-First  effs:14,607,835  asgs:(560,noefs=0,fails=77)  fails:8,856  wrgs:19,368  wck:37.8  ngds:502  sols:27  bounds:43..50
    run83  dpts:56..69  robin:FrbaOnDom-Last  effs:14,684,842  asgs:(218,noefs=6,fails=81)  fails:8,937  wrgs:19,495  wck:38.1  ngds:510  sols:27  bounds:43..50
    run84  dpts:37..51  robin:Wdeg-Rand  effs:14,818,873  asgs:(275,noefs=6,fails=85)  fails:9,022  wrgs:19,675  wck:38.4  ngds:518  sols:27  bounds:43..50
    run85  dpts:51..74  robin:PickOnDom-First  effs:14,913,205  asgs:(243,noefs=13,fails=89)  fails:9,111  wrgs:19,852  wck:38.6  ngds:521  sols:27  bounds:43..50
    run86  dpts:232..242  robin:WdegOnDom-Last  effs:15,045,541  asgs:(464,noefs=11,fails=94)  fails:9,205  wrgs:20,006  wck:38.9  ngds:526  sols:27  bounds:43..50
    run87  dpts:54..69  robin:FrbaOnDom-Rand  effs:15,155,405  asgs:(262,noefs=8,fails=98)  fails:9,303  wrgs:20,181  wck:39.2  ngds:533  sols:27  bounds:43..50
    run88  dpts:33..51  robin:Wdeg-First  effs:15,365,323  asgs:(346,noefs=16,fails=103)  fails:9,406  wrgs:20,427  wck:39.6  ngds:537  sols:27  bounds:43..50
    run89  dpts:40..65  robin:PickOnDom-Last  effs:15,449,848  asgs:(244,noefs=24,fails=109)  fails:9,515  wrgs:20,588  wck:39.8  ngds:553  sols:27  bounds:43..50
    run90  dpts:224..254  robin:WdegOnDom-Rand  effs:15,629,318  asgs:(617,noefs=10,fails=114)  fails:9,629  wrgs:20,880  wck:40.2  ngds:561  sols:27  bounds:43..50
 ...resetting restart cutoff to 55
    run91  dpts:38..62  robin:FrbaOnDom-First  effs:15,702,340  asgs:(204,noefs=7,fails=55)  fails:9,684  wrgs:21,023  wck:40.5  ngds:566  sols:27  bounds:43..50
    run92  dpts:34..48  robin:Wdeg-Last  effs:15,769,879  asgs:(181,noefs=2,fails=57)  fails:9,741  wrgs:21,128  wck:40.7  ngds:577  sols:27  bounds:43..50
    run93  dpts:39..49  robin:PickOnDom-Rand  effs:15,827,302  asgs:(157,noefs=7,fails=60)  fails:9,801  wrgs:21,224  wck:40.8  ngds:587  sols:27  bounds:43..50
    run94  dpts:283..339  robin:WdegOnDom-First  effs:16,016,379  asgs:(519,noefs=0,fails=63)  fails:9,864  wrgs:21,400  wck:41.2  ngds:592  sols:27  bounds:43..50
    run95  dpts:46..57  robin:FrbaOnDom-Last  effs:16,079,351  asgs:(165,noefs=8,fails=66)  fails:9,930  wrgs:21,497  wck:41.5  ngds:601  sols:27  bounds:43..50
    run96  dpts:37..54  robin:Wdeg-Rand  effs:16,156,552  asgs:(204,noefs=1,fails=70)  fails:10,000  wrgs:21,616  wck:41.7  ngds:608  sols:27  bounds:43..50
    run97  dpts:35..48  robin:PickOnDom-First  effs:16,245,130  asgs:(219,noefs=7,fails=73)  fails:10,073  wrgs:21,770  wck:41.9  ngds:613  sols:27  bounds:43..50
    run98  dpts:603..613  robin:WdegOnDom-Last  effs:16,347,530  asgs:(794,noefs=10,fails=77)  fails:10,150  wrgs:21,900  wck:42.2  ngds:618  sols:27  bounds:43..50
    run99  dpts:50..71  robin:FrbaOnDom-Rand  effs:16,430,659  asgs:(250,noefs=6,fails=81)  fails:10,231  wrgs:22,071  wck:42.5  ngds:624  sols:27  bounds:43..50
    run100  dpts:40..53  robin:Wdeg-First  effs:16,578,871  asgs:(283,noefs=0,fails=85)  fails:10,316  wrgs:22,276  wck:42.8  ngds:627  sols:27  bounds:43..50
    run101  dpts:32..47  robin:PickOnDom-Last  effs:16,658,080  asgs:(216,noefs=5,fails=89)  fails:10,405  wrgs:22,417  wck:43.0  ngds:631  sols:27  bounds:43..50
 ...resetting heuristics data (nValues:113,673 - nSingletons:0 - nEntailed:1)
