JobID|JobIDRaw|JobName|State|ExitCode|Elapsed
19856575_19|19856841|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_19.batch|19856841.batch|batch|FAILED|1:0|00:00:03
19856575_19.extern|19856841.extern|extern|COMPLETED|0:0|00:00:04
19856575_20|19856842|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_20.batch|19856842.batch|batch|FAILED|1:0|00:00:03
19856575_20.extern|19856842.extern|extern|COMPLETED|0:0|00:00:04
19856575_21|19856843|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_21.batch|19856843.batch|batch|FAILED|1:0|00:00:03
19856575_21.extern|19856843.extern|extern|COMPLETED|0:0|00:00:04
19856575_22|19856844|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_22.batch|19856844.batch|batch|FAILED|1:0|00:00:03
19856575_22.extern|19856844.extern|extern|COMPLETED|0:0|00:00:04
19856575_23|19856845|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_23.batch|19856845.batch|batch|FAILED|1:0|00:00:03
19856575_23.extern|19856845.extern|extern|COMPLETED|0:0|00:00:04
19856575_24|19856846|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_24.batch|19856846.batch|batch|FAILED|1:0|00:00:03
19856575_24.extern|19856846.extern|extern|COMPLETED|0:0|00:00:04
19856575_25|19856847|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_25.batch|19856847.batch|batch|FAILED|1:0|00:00:03
19856575_25.extern|19856847.extern|extern|COMPLETED|0:0|00:00:04
19856575_26|19856848|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_26.batch|19856848.batch|batch|FAILED|1:0|00:00:03
19856575_26.extern|19856848.extern|extern|COMPLETED|0:0|00:00:04
19856575_27|19856849|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|FAILED|1:0|00:00:03
19856575_27.batch|19856849.batch|batch|FAILED|1:0|00:00:03
19856575_27.extern|19856849.extern|extern|COMPLETED|0:0|00:00:04
19856575_28|19856865|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_28.batch|19856865.batch|batch|COMPLETED|0:0|00:30:05
19856575_28.extern|19856865.extern|extern|COMPLETED|0:0|00:30:05
19856575_29|19856866|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_29.batch|19856866.batch|batch|COMPLETED|0:0|00:30:05
19856575_29.extern|19856866.extern|extern|COMPLETED|0:0|00:30:05
19856575_30|19856867|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_30.batch|19856867.batch|batch|COMPLETED|0:0|00:30:05
19856575_30.extern|19856867.extern|extern|COMPLETED|0:0|00:30:05
19856575_31|19856868|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_31.batch|19856868.batch|batch|COMPLETED|0:0|00:30:05
19856575_31.extern|19856868.extern|extern|COMPLETED|0:0|00:30:05
19856575_32|19856869|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:44
19856575_32.batch|19856869.batch|batch|COMPLETED|0:0|00:00:44
19856575_32.extern|19856869.extern|extern|COMPLETED|0:0|00:00:44
19856575_33|19856870|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:20
19856575_33.batch|19856870.batch|batch|COMPLETED|0:0|00:00:20
19856575_33.extern|19856870.extern|extern|COMPLETED|0:0|00:00:20
19856575_34|19856871|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:38
19856575_34.batch|19856871.batch|batch|COMPLETED|0:0|00:00:38
19856575_34.extern|19856871.extern|extern|COMPLETED|0:0|00:00:38
19856575_35|19856872|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:05:50
19856575_35.batch|19856872.batch|batch|COMPLETED|0:0|00:05:50
19856575_35.extern|19856872.extern|extern|COMPLETED|0:0|00:05:50
19856575_36|19856873|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:24
19856575_36.batch|19856873.batch|batch|COMPLETED|0:0|00:00:24
19856575_36.extern|19856873.extern|extern|COMPLETED|0:0|00:00:24
19856575_37|19856874|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:10
19856575_37.batch|19856874.batch|batch|COMPLETED|0:0|00:00:10
19856575_37.extern|19856874.extern|extern|COMPLETED|0:0|00:00:10
19856575_38|19856875|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:24
19856575_38.batch|19856875.batch|batch|COMPLETED|0:0|00:00:24
19856575_38.extern|19856875.extern|extern|COMPLETED|0:0|00:00:24
19856575_39|19856876|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:37
19856575_39.batch|19856876.batch|batch|COMPLETED|0:0|00:00:37
19856575_39.extern|19856876.extern|extern|COMPLETED|0:0|00:00:38
19856575_40|19856877|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:44
19856575_40.batch|19856877.batch|batch|COMPLETED|0:0|00:00:44
19856575_40.extern|19856877.extern|extern|COMPLETED|0:0|00:00:44
19856575_41|19856878|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:21
19856575_41.batch|19856878.batch|batch|COMPLETED|0:0|00:00:21
19856575_41.extern|19856878.extern|extern|COMPLETED|0:0|00:00:21
19856575_42|19856879|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:14
19856575_42.batch|19856879.batch|batch|COMPLETED|0:0|00:00:14
19856575_42.extern|19856879.extern|extern|COMPLETED|0:0|00:00:14
19856575_43|19856880|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_43.batch|19856880.batch|batch|COMPLETED|0:0|00:30:05
19856575_43.extern|19856880.extern|extern|COMPLETED|0:0|00:30:05
19856575_44|19856881|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:17
19856575_44.batch|19856881.batch|batch|COMPLETED|0:0|00:00:17
19856575_44.extern|19856881.extern|extern|COMPLETED|0:0|00:00:17
19856575_45|19856882|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:57
19856575_45.batch|19856882.batch|batch|COMPLETED|0:0|00:00:57
19856575_45.extern|19856882.extern|extern|COMPLETED|0:0|00:00:57
19856575_46|19856883|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_46.batch|19856883.batch|batch|COMPLETED|0:0|00:30:05
19856575_46.extern|19856883.extern|extern|COMPLETED|0:0|00:30:05
19856575_47|19856884|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:02:56
19856575_47.batch|19856884.batch|batch|COMPLETED|0:0|00:02:56
19856575_47.extern|19856884.extern|extern|COMPLETED|0:0|00:02:56
19856575_48|19856885|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:02:17
19856575_48.batch|19856885.batch|batch|COMPLETED|0:0|00:02:17
19856575_48.extern|19856885.extern|extern|COMPLETED|0:0|00:02:17
19856575_49|19856886|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:03:00
19856575_49.batch|19856886.batch|batch|COMPLETED|0:0|00:03:00
19856575_49.extern|19856886.extern|extern|COMPLETED|0:0|00:03:00
19856575_50|19856887|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:03:13
19856575_50.batch|19856887.batch|batch|COMPLETED|0:0|00:03:13
19856575_50.extern|19856887.extern|extern|COMPLETED|0:0|00:03:13
19856575_51|19856888|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_51.batch|19856888.batch|batch|COMPLETED|0:0|00:30:05
19856575_51.extern|19856888.extern|extern|COMPLETED|0:0|00:30:05
19856575_52|19856889|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:03:00
19856575_52.batch|19856889.batch|batch|COMPLETED|0:0|00:03:00
19856575_52.extern|19856889.extern|extern|COMPLETED|0:0|00:03:00
19856575_53|19856890|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:10:15
19856575_53.batch|19856890.batch|batch|COMPLETED|0:0|00:10:15
19856575_53.extern|19856890.extern|extern|COMPLETED|0:0|00:10:15
19856575_54|19856891|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:12:22
19856575_54.batch|19856891.batch|batch|COMPLETED|0:0|00:12:22
19856575_54.extern|19856891.extern|extern|COMPLETED|0:0|00:12:23
19856575_55|19856892|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:01:01
19856575_55.batch|19856892.batch|batch|COMPLETED|0:0|00:01:01
19856575_55.extern|19856892.extern|extern|COMPLETED|0:0|00:01:01
19856575_56|19856893|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_56.batch|19856893.batch|batch|COMPLETED|0:0|00:30:05
19856575_56.extern|19856893.extern|extern|COMPLETED|0:0|00:30:05
19856575_57|19856894|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:08:58
19856575_57.batch|19856894.batch|batch|COMPLETED|0:0|00:08:58
19856575_57.extern|19856894.extern|extern|COMPLETED|0:0|00:08:58
19856575_58|19856895|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:06:57
19856575_58.batch|19856895.batch|batch|COMPLETED|0:0|00:06:57
19856575_58.extern|19856895.extern|extern|COMPLETED|0:0|00:06:58
19856575_59|19856896|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_59.batch|19856896.batch|batch|COMPLETED|0:0|00:30:05
19856575_59.extern|19856896.extern|extern|COMPLETED|0:0|00:30:05
19856575_60|19856931|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_60.batch|19856931.batch|batch|COMPLETED|0:0|00:30:04
19856575_60.extern|19856931.extern|extern|COMPLETED|0:0|00:30:04
19856575_61|19856939|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_61.batch|19856939.batch|batch|COMPLETED|0:0|00:30:03
19856575_61.extern|19856939.extern|extern|COMPLETED|0:0|00:30:03
19856575_62|19856947|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:02:50
19856575_62.batch|19856947.batch|batch|COMPLETED|0:0|00:02:50
19856575_62.extern|19856947.extern|extern|COMPLETED|0:0|00:02:50
19856575_63|19856958|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_63.batch|19856958.batch|batch|COMPLETED|0:0|00:30:03
19856575_63.extern|19856958.extern|extern|COMPLETED|0:0|00:30:03
19856575_64|19856959|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_64.batch|19856959.batch|batch|COMPLETED|0:0|00:30:03
19856575_64.extern|19856959.extern|extern|COMPLETED|0:0|00:30:03
19856575_65|19856963|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_65.batch|19856963.batch|batch|COMPLETED|0:0|00:30:03
19856575_65.extern|19856963.extern|extern|COMPLETED|0:0|00:30:03
19856575_66|19856964|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:27
19856575_66.batch|19856964.batch|batch|COMPLETED|0:0|00:00:27
19856575_66.extern|19856964.extern|extern|COMPLETED|0:0|00:00:27
19856575_67|19856966|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_67.batch|19856966.batch|batch|COMPLETED|0:0|00:30:04
19856575_67.extern|19856966.extern|extern|COMPLETED|0:0|00:30:04
19856575_68|19856967|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_68.batch|19856967.batch|batch|COMPLETED|0:0|00:30:04
19856575_68.extern|19856967.extern|extern|COMPLETED|0:0|00:30:04
19856575_69|19856969|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_69.batch|19856969.batch|batch|COMPLETED|0:0|00:30:03
19856575_69.extern|19856969.extern|extern|COMPLETED|0:0|00:30:03
19856575_70|19856970|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:10
19856575_70.batch|19856970.batch|batch|COMPLETED|0:0|00:00:10
19856575_70.extern|19856970.extern|extern|COMPLETED|0:0|00:00:10
19856575_71|19856972|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_71.batch|19856972.batch|batch|COMPLETED|0:0|00:30:03
19856575_71.extern|19856972.extern|extern|COMPLETED|0:0|00:30:03
19856575_72|19856973|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_72.batch|19856973.batch|batch|COMPLETED|0:0|00:30:05
19856575_72.extern|19856973.extern|extern|COMPLETED|0:0|00:30:05
19856575_73|19856974|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_73.batch|19856974.batch|batch|COMPLETED|0:0|00:30:05
19856575_73.extern|19856974.extern|extern|COMPLETED|0:0|00:30:05
19856575_74|19856976|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_74.batch|19856976.batch|batch|COMPLETED|0:0|00:30:05
19856575_74.extern|19856976.extern|extern|COMPLETED|0:0|00:30:05
19856575_75|19857007|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_75.batch|19857007.batch|batch|COMPLETED|0:0|00:30:04
19856575_75.extern|19857007.extern|extern|COMPLETED|0:0|00:30:04
19856575_76|19857019|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_76.batch|19857019.batch|batch|COMPLETED|0:0|00:30:03
19856575_76.extern|19857019.extern|extern|COMPLETED|0:0|00:30:03
19856575_77|19857020|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_77.batch|19857020.batch|batch|COMPLETED|0:0|00:30:03
19856575_77.extern|19857020.extern|extern|COMPLETED|0:0|00:30:03
19856575_78|19857021|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_78.batch|19857021.batch|batch|COMPLETED|0:0|00:30:03
19856575_78.extern|19857021.extern|extern|COMPLETED|0:0|00:30:03
19856575_79|19857024|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_79.batch|19857024.batch|batch|COMPLETED|0:0|00:30:03
19856575_79.extern|19857024.extern|extern|COMPLETED|0:0|00:30:03
19856575_80|19857025|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:41
19856575_80.batch|19857025.batch|batch|COMPLETED|0:0|00:00:41
19856575_80.extern|19857025.extern|extern|COMPLETED|0:0|00:00:41
19856575_81|19857041|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_81.batch|19857041.batch|batch|COMPLETED|0:0|00:30:03
19856575_81.extern|19857041.extern|extern|COMPLETED|0:0|00:30:03
19856575_82|19857065|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_82.batch|19857065.batch|batch|COMPLETED|0:0|00:30:04
19856575_82.extern|19857065.extern|extern|COMPLETED|0:0|00:30:04
19856575_83|19857082|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:05
19856575_83.batch|19857082.batch|batch|COMPLETED|0:0|00:30:05
19856575_83.extern|19857082.extern|extern|COMPLETED|0:0|00:30:05
19856575_84|19857103|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_84.batch|19857103.batch|batch|COMPLETED|0:0|00:30:04
19856575_84.extern|19857103.extern|extern|COMPLETED|0:0|00:30:04
19856575_85|19857119|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_85.batch|19857119.batch|batch|COMPLETED|0:0|00:30:03
19856575_85.extern|19857119.extern|extern|COMPLETED|0:0|00:30:03
19856575_86|19857154|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_86.batch|19857154.batch|batch|COMPLETED|0:0|00:30:03
19856575_86.extern|19857154.extern|extern|COMPLETED|0:0|00:30:03
19856575_87|19857340|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_87.batch|19857340.batch|batch|COMPLETED|0:0|00:30:04
19856575_87.extern|19857340.extern|extern|COMPLETED|0:0|00:30:04
19856575_88|19857341|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_88.batch|19857341.batch|batch|COMPLETED|0:0|00:30:04
19856575_88.extern|19857341.extern|extern|COMPLETED|0:0|00:30:04
19856575_89|19857342|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_89.batch|19857342.batch|batch|COMPLETED|0:0|00:30:04
19856575_89.extern|19857342.extern|extern|COMPLETED|0:0|00:30:04
19856575_90|19857343|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_90.batch|19857343.batch|batch|COMPLETED|0:0|00:30:04
19856575_90.extern|19857343.extern|extern|COMPLETED|0:0|00:30:04
19856575_91|19857344|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_91.batch|19857344.batch|batch|COMPLETED|0:0|00:30:04
19856575_91.extern|19857344.extern|extern|COMPLETED|0:0|00:30:04
19856575_92|19857345|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_92.batch|19857345.batch|batch|COMPLETED|0:0|00:30:04
19856575_92.extern|19857345.extern|extern|COMPLETED|0:0|00:30:04
19856575_93|19857346|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_93.batch|19857346.batch|batch|COMPLETED|0:0|00:30:04
19856575_93.extern|19857346.extern|extern|COMPLETED|0:0|00:30:04
19856575_94|19857347|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:00:15
19856575_94.batch|19857347.batch|batch|COMPLETED|0:0|00:00:15
19856575_94.extern|19857347.extern|extern|COMPLETED|0:0|00:00:15
19856575_95|19857348|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_95.batch|19857348.batch|batch|COMPLETED|0:0|00:30:04
19856575_95.extern|19857348.extern|extern|COMPLETED|0:0|00:30:04
19856575_96|19857349|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:04
19856575_96.batch|19857349.batch|batch|COMPLETED|0:0|00:30:04
19856575_96.extern|19857349.extern|extern|COMPLETED|0:0|00:30:04
19856575_97|19857351|xcsp-parse-cop165-log-scop-task-rd-20260526-c609ccd4-dirty-q10609-rerun1|COMPLETED|0:0|00:30:03
19856575_97.batch|19857351.batch|batch|COMPLETED|0:0|00:30:03
