JobID,State,ExitCode,Elapsed,MaxRSS
19442938_25,COMPLETED,0:0,00:25:32,
19442938_25.batch,COMPLETED,0:0,00:25:32,18875104K
19442938_25.extern,COMPLETED,0:0,00:25:32,0
19442938_26,COMPLETED,0:0,00:30:05,
19442938_26.batch,COMPLETED,0:0,00:30:05,19878448K
19442938_26.extern,COMPLETED,0:0,00:30:05,0
19442938_27,COMPLETED,0:0,00:30:05,
19442938_27.batch,COMPLETED,0:0,00:30:05,19733616K
19442938_27.extern,COMPLETED,0:0,00:30:05,0
19442938_28,COMPLETED,0:0,00:15:11,
19442938_28.batch,COMPLETED,0:0,00:15:11,18213832K
19442938_28.extern,COMPLETED,0:0,00:15:11,0
19442938_29,COMPLETED,0:0,00:30:05,
19442938_29.batch,COMPLETED,0:0,00:30:05,18043812K
19442938_29.extern,COMPLETED,0:0,00:30:05,0
19442938_30,COMPLETED,0:0,00:29:01,
19442938_30.batch,COMPLETED,0:0,00:29:01,17890500K
19442938_30.extern,COMPLETED,0:0,00:29:01,0
19442938_31,COMPLETED,0:0,00:18:56,
19442938_31.batch,COMPLETED,0:0,00:18:56,16457688K
19442938_31.extern,COMPLETED,0:0,00:18:56,0
19442938_32,COMPLETED,0:0,00:24:49,
19442938_32.batch,COMPLETED,0:0,00:24:49,17859844K
19442938_32.extern,COMPLETED,0:0,00:24:49,0
19442938_33,COMPLETED,0:0,00:21:50,
19442938_33.batch,COMPLETED,0:0,00:21:50,17601384K
19442938_33.extern,COMPLETED,0:0,00:21:50,0
19442938_34,COMPLETED,0:0,00:25:48,
19442938_34.batch,COMPLETED,0:0,00:25:48,14079656K
19442938_34.extern,COMPLETED,0:0,00:25:48,0
19442938_35,COMPLETED,0:0,00:23:43,
19442938_35.batch,COMPLETED,0:0,00:23:43,14128792K
19442938_35.extern,COMPLETED,0:0,00:23:43,0
19442938_36,COMPLETED,0:0,00:09:53,
19442938_36.batch,COMPLETED,0:0,00:09:53,15070188K
19442938_36.extern,COMPLETED,0:0,00:09:53,0
19442938_37,OUT_OF_MEMORY,0:125,00:14:38,
19442938_37.batch,OUT_OF_MEMORY,0:125,00:14:38,121081576K
19442938_37.extern,OUT_OF_MEMORY,0:125,00:14:38,0
19442938_38,COMPLETED,0:0,00:04:44,
19442938_38.batch,COMPLETED,0:0,00:04:44,45881244K
19442938_38.extern,COMPLETED,0:0,00:04:44,0
19442938_39,COMPLETED,0:0,00:14:52,
19442938_39.batch,COMPLETED,0:0,00:14:52,91724472K
19442938_39.extern,COMPLETED,0:0,00:14:52,0
19442938_40,OUT_OF_MEMORY,0:125,00:19:21,
19442938_40.batch,OUT_OF_MEMORY,0:125,00:19:21,112987320K
19442938_40.extern,OUT_OF_MEMORY,0:125,00:19:21,0
19442938_41,OUT_OF_MEMORY,0:125,00:27:31,
19442938_41.batch,OUT_OF_MEMORY,0:125,00:27:31,105909952K
19442938_41.extern,OUT_OF_MEMORY,0:125,00:27:31,0
19442938_42,COMPLETED,0:0,00:30:04,
19442938_42.batch,COMPLETED,0:0,00:30:04,1405376K
19442938_42.extern,COMPLETED,0:0,00:30:04,0
19442938_43,COMPLETED,0:0,00:30:05,
19442938_43.batch,COMPLETED,0:0,00:30:05,2141292K
19442938_43.extern,COMPLETED,0:0,00:30:05,0
19442938_44,OUT_OF_MEMORY,0:125,00:19:28,
19442938_44.batch,OUT_OF_MEMORY,0:125,00:19:28,111371956K
19442938_44.extern,OUT_OF_MEMORY,0:125,00:19:28,0
19442938_45,OUT_OF_MEMORY,0:125,00:16:05,
19442938_45.batch,OUT_OF_MEMORY,0:125,00:16:05,121083616K
19442938_45.extern,OUT_OF_MEMORY,0:125,00:16:05,0
19442938_46,OUT_OF_MEMORY,0:125,00:15:18,
19442938_46.batch,OUT_OF_MEMORY,0:125,00:15:18,123236956K
19442938_46.extern,OUT_OF_MEMORY,0:125,00:15:18,0
19442938_47,OUT_OF_MEMORY,0:125,00:06:40,
19442938_47.batch,OUT_OF_MEMORY,0:125,00:06:40,123233872K
19442938_47.extern,OUT_OF_MEMORY,0:125,00:06:40,0
19442938_48,OUT_OF_MEMORY,0:125,00:06:26,
19442938_48.batch,OUT_OF_MEMORY,0:125,00:06:26,117389420K
19442938_48.extern,OUT_OF_MEMORY,0:125,00:06:26,0
19442938_49,OUT_OF_MEMORY,0:125,00:06:29,
19442938_49.batch,OUT_OF_MEMORY,0:125,00:06:29,83456444K
19442938_49.extern,OUT_OF_MEMORY,0:125,00:06:29,0
19442938_50,OUT_OF_MEMORY,0:125,00:07:22,
19442938_50.batch,OUT_OF_MEMORY,0:125,00:07:22,118489548K
19442938_50.extern,OUT_OF_MEMORY,0:125,00:07:22,0
19442938_51,OUT_OF_MEMORY,0:125,00:09:16,
19442938_51.batch,OUT_OF_MEMORY,0:125,00:09:16,115769332K
19442938_51.extern,OUT_OF_MEMORY,0:125,00:09:16,0
19442938_52,OUT_OF_MEMORY,0:125,00:11:11,
19442938_52.batch,OUT_OF_MEMORY,0:125,00:11:11,124051132K
19442938_52.extern,OUT_OF_MEMORY,0:125,00:11:13,0
19442938_53,COMPLETED,0:0,00:30:03,
19442938_53.batch,COMPLETED,0:0,00:30:03,1747716K
19442938_53.extern,COMPLETED,0:0,00:30:03,0
19442938_54,COMPLETED,0:0,00:30:15,
19442938_54.batch,COMPLETED,0:0,00:30:15,1649084K
19442938_54.extern,COMPLETED,0:0,00:30:15,0
19442938_55,COMPLETED,0:0,00:30:15,
19442938_55.batch,COMPLETED,0:0,00:30:15,1738916K
19442938_55.extern,COMPLETED,0:0,00:30:15,0
19442938_56,OUT_OF_MEMORY,0:125,00:13:35,
19442938_56.batch,OUT_OF_MEMORY,0:125,00:13:35,120007372K
19442938_56.extern,OUT_OF_MEMORY,0:125,00:13:35,0
19442938_57,OUT_OF_MEMORY,0:125,00:09:57,
19442938_57.batch,OUT_OF_MEMORY,0:125,00:09:57,120785776K
19442938_57.extern,OUT_OF_MEMORY,0:125,00:09:57,0
19442938_58,OUT_OF_MEMORY,0:125,00:09:23,
19442938_58.batch,OUT_OF_MEMORY,0:125,00:09:23,121105336K
19442938_58.extern,OUT_OF_MEMORY,0:125,00:09:23,0
19442938_59,OUT_OF_MEMORY,0:125,00:09:15,
19442938_59.batch,OUT_OF_MEMORY,0:125,00:09:15,122868940K
19442938_59.extern,OUT_OF_MEMORY,0:125,00:09:15,0
19442938_60,OUT_OF_MEMORY,0:125,00:09:07,
19442938_60.batch,OUT_OF_MEMORY,0:125,00:09:07,124643284K
19442938_60.extern,OUT_OF_MEMORY,0:125,00:09:07,0
19442938_61,OUT_OF_MEMORY,0:125,00:06:31,
19442938_61.batch,OUT_OF_MEMORY,0:125,00:06:31,114846732K
19442938_61.extern,OUT_OF_MEMORY,0:125,00:06:31,0
19442938_62,OUT_OF_MEMORY,0:125,00:06:05,
19442938_62.batch,OUT_OF_MEMORY,0:125,00:06:05,107677756K
19442938_62.extern,OUT_OF_MEMORY,0:125,00:06:05,0
19442938_63,OUT_OF_MEMORY,0:125,00:07:09,
19442938_63.batch,OUT_OF_MEMORY,0:125,00:07:09,123549068K
19442938_63.extern,OUT_OF_MEMORY,0:125,00:07:09,0
19442938_64,OUT_OF_MEMORY,0:125,00:07:31,
19442938_64.batch,OUT_OF_MEMORY,0:125,00:07:31,112730156K
19442938_64.extern,OUT_OF_MEMORY,0:125,00:07:31,0
19442938_65,OUT_OF_MEMORY,0:125,00:04:32,
19442938_65.batch,OUT_OF_MEMORY,0:125,00:04:32,118877052K
19442938_65.extern,OUT_OF_MEMORY,0:125,00:04:32,0
19442938_66,OUT_OF_MEMORY,0:125,00:05:52,
19442938_66.batch,OUT_OF_MEMORY,0:125,00:05:52,118800656K
19442938_66.extern,OUT_OF_MEMORY,0:125,00:05:52,0
19442938_67,OUT_OF_MEMORY,0:125,00:05:24,
19442938_67.batch,OUT_OF_MEMORY,0:125,00:05:24,113423132K
19442938_67.extern,OUT_OF_MEMORY,0:125,00:05:24,0
19442938_68,OUT_OF_MEMORY,0:125,00:07:32,
19442938_68.batch,OUT_OF_MEMORY,0:125,00:07:32,112764476K
19442938_68.extern,OUT_OF_MEMORY,0:125,00:07:32,0
19442938_69,OUT_OF_MEMORY,0:125,00:07:12,
19442938_69.batch,OUT_OF_MEMORY,0:125,00:07:12,122570976K
19442938_69.extern,OUT_OF_MEMORY,0:125,00:07:12,0
19442938_70,OUT_OF_MEMORY,0:125,00:09:41,
19442938_70.batch,OUT_OF_MEMORY,0:125,00:09:41,105616344K
19442938_70.extern,OUT_OF_MEMORY,0:125,00:09:41,0
19442938_71,OUT_OF_MEMORY,0:125,00:07:45,
19442938_71.batch,OUT_OF_MEMORY,0:125,00:07:45,109886160K
19442938_71.extern,OUT_OF_MEMORY,0:125,00:07:45,0
19442938_72,OUT_OF_MEMORY,0:125,00:07:26,
19442938_72.batch,OUT_OF_MEMORY,0:125,00:07:26,120150184K
19442938_72.extern,OUT_OF_MEMORY,0:125,00:07:26,0
19442938_73,OUT_OF_MEMORY,0:125,00:05:51,
19442938_73.batch,OUT_OF_MEMORY,0:125,00:05:51,120680464K
19442938_73.extern,OUT_OF_MEMORY,0:125,00:05:51,0
19442938_74,COMPLETED,0:0,00:30:06,
19442938_74.batch,COMPLETED,0:0,00:30:06,77309044K
19442938_74.extern,COMPLETED,0:0,00:30:06,0
19442938_75,COMPLETED,0:0,00:30:06,
19442938_75.batch,COMPLETED,0:0,00:30:06,117198688K
19442938_75.extern,COMPLETED,0:0,00:30:06,0
19442938_76,OUT_OF_MEMORY,0:125,00:19:13,
19442938_76.batch,OUT_OF_MEMORY,0:125,00:19:13,124190752K
19442938_76.extern,OUT_OF_MEMORY,0:125,00:19:13,0
19442938_77,OUT_OF_MEMORY,0:125,00:20:04,
19442938_77.batch,OUT_OF_MEMORY,0:125,00:20:04,122713504K
19442938_77.extern,OUT_OF_MEMORY,0:125,00:20:04,0
19442938_78,OUT_OF_MEMORY,0:125,00:21:39,
19442938_78.batch,OUT_OF_MEMORY,0:125,00:21:39,123641368K
19442938_78.extern,OUT_OF_MEMORY,0:125,00:21:39,0
19442938_79,OUT_OF_MEMORY,0:125,00:12:14,
19442938_79.batch,OUT_OF_MEMORY,0:125,00:12:14,112806116K
19442938_79.extern,OUT_OF_MEMORY,0:125,00:12:14,0
19442938_80,COMPLETED,0:0,00:30:02,
19442938_80.batch,COMPLETED,0:0,00:30:02,6846608K
19442938_80.extern,COMPLETED,0:0,00:30:02,0
19442938_81,OUT_OF_MEMORY,0:125,00:06:30,
19442938_81.batch,OUT_OF_MEMORY,0:125,00:06:30,110938924K
19442938_81.extern,OUT_OF_MEMORY,0:125,00:06:30,0
19442938_82,OUT_OF_MEMORY,0:125,00:11:17,
19442938_82.batch,OUT_OF_MEMORY,0:125,00:11:17,105044648K
19442938_82.extern,OUT_OF_MEMORY,0:125,00:11:17,0
19442938_83,OUT_OF_MEMORY,0:125,00:19:22,
19442938_83.batch,OUT_OF_MEMORY,0:125,00:19:22,118638376K
19442938_83.extern,OUT_OF_MEMORY,0:125,00:19:22,0
19442938_84,COMPLETED,0:0,00:30:11,
19442938_84.batch,COMPLETED,0:0,00:30:11,85918672K
19442938_84.extern,COMPLETED,0:0,00:30:11,0
19442938_85,COMPLETED,0:0,00:30:12,
19442938_85.batch,COMPLETED,0:0,00:30:12,110593640K
19442938_85.extern,COMPLETED,0:0,00:30:12,0
19442938_86,OUT_OF_MEMORY,0:125,00:06:54,
19442938_86.batch,OUT_OF_MEMORY,0:125,00:06:54,117811996K
19442938_86.extern,OUT_OF_MEMORY,0:125,00:06:54,0
19442938_87,OUT_OF_MEMORY,0:125,00:13:23,
19442938_87.batch,OUT_OF_MEMORY,0:125,00:13:23,118015348K
19442938_87.extern,OUT_OF_MEMORY,0:125,00:13:23,0
19442938_88,OUT_OF_MEMORY,0:125,00:21:01,
19442938_88.batch,OUT_OF_MEMORY,0:125,00:21:01,115470948K
19442938_88.extern,OUT_OF_MEMORY,0:125,00:21:04,0
19442938_89,COMPLETED,0:0,00:30:05,
19442938_89.batch,COMPLETED,0:0,00:30:05,107135356K
19442938_89.extern,COMPLETED,0:0,00:30:05,0
19442938_90,COMPLETED,0:0,00:30:11,
19442938_90.batch,COMPLETED,0:0,00:30:11,104560216K
19442938_90.extern,COMPLETED,0:0,00:30:11,0
19442938_91,OUT_OF_MEMORY,0:125,00:06:14,
19442938_91.batch,OUT_OF_MEMORY,0:125,00:06:14,121815928K
19442938_91.extern,OUT_OF_MEMORY,0:125,00:06:14,0
19442938_92,OUT_OF_MEMORY,0:125,00:10:15,
19442938_92.batch,OUT_OF_MEMORY,0:125,00:10:15,114134556K
19442938_92.extern,OUT_OF_MEMORY,0:125,00:10:15,0
19442938_93,COMPLETED,0:0,00:30:07,
19442938_93.batch,COMPLETED,0:0,00:30:07,85331032K
19442938_93.extern,COMPLETED,0:0,00:30:07,0
19442938_94,COMPLETED,0:0,00:30:09,
19442938_94.batch,COMPLETED,0:0,00:30:09,98690612K
19442938_94.extern,COMPLETED,0:0,00:30:09,0
19442938_95,COMPLETED,0:0,00:30:07,
19442938_95.batch,COMPLETED,0:0,00:30:07,99233900K
19442938_95.extern,COMPLETED,0:0,00:30:07,0
19442938_96,OUT_OF_MEMORY,0:125,00:21:32,
19442938_96.batch,OUT_OF_MEMORY,0:125,00:21:32,120433220K
19442938_96.extern,OUT_OF_MEMORY,0:125,00:21:32,0
19442938_97,COMPLETED,0:0,00:30:07,
19442938_97.batch,COMPLETED,0:0,00:30:07,85644748K
19442938_97.extern,COMPLETED,0:0,00:30:07,0
19442938_98,COMPLETED,0:0,00:30:04,
19442938_98.batch,COMPLETED,0:0,00:30:04,25473264K
19442938_98.extern,COMPLETED,0:0,00:30:04,0
19442938_99,OUT_OF_MEMORY,0:125,00:08:35,
19442938_99.batch,OUT_OF_MEMORY,0:125,00:08:35,115469964K
19442938_99.extern,OUT_OF_MEMORY,0:125,00:08:35,0
19442938_100,OUT_OF_MEMORY,0:125,00:11:03,
19442938_100.batch,OUT_OF_MEMORY,0:125,00:11:03,98832032K
19442938_100.extern,OUT_OF_MEMORY,0:125,00:11:03,0
19442938_101,OUT_OF_MEMORY,0:125,00:10:54,
19442938_101.batch,OUT_OF_MEMORY,0:125,00:10:54,120192528K
19442938_101.extern,OUT_OF_MEMORY,0:125,00:10:54,0
19442938_102,OUT_OF_MEMORY,0:125,00:10:09,
19442938_102.batch,OUT_OF_MEMORY,0:125,00:10:09,122801532K
19442938_102.extern,OUT_OF_MEMORY,0:125,00:10:09,0
19442938_103,OUT_OF_MEMORY,0:125,00:08:38,
19442938_103.batch,OUT_OF_MEMORY,0:125,00:08:38,118314744K
19442938_103.extern,OUT_OF_MEMORY,0:125,00:08:38,0
19442938_104,OUT_OF_MEMORY,0:125,00:08:13,
19442938_104.batch,OUT_OF_MEMORY,0:125,00:08:13,123275056K
19442938_104.extern,OUT_OF_MEMORY,0:125,00:08:13,0
19442938_105,OUT_OF_MEMORY,0:125,00:10:07,
19442938_105.batch,OUT_OF_MEMORY,0:125,00:10:07,120944500K
19442938_105.extern,OUT_OF_MEMORY,0:125,00:10:07,0
19442938_106,OUT_OF_MEMORY,0:125,00:09:53,
19442938_106.batch,OUT_OF_MEMORY,0:125,00:09:53,117508956K
19442938_106.extern,OUT_OF_MEMORY,0:125,00:09:53,0
19442938_107,OUT_OF_MEMORY,0:125,00:09:09,
19442938_107.batch,OUT_OF_MEMORY,0:125,00:09:09,124167472K
19442938_107.extern,OUT_OF_MEMORY,0:125,00:09:09,0
19442938_108,OUT_OF_MEMORY,0:125,00:09:22,
19442938_108.batch,OUT_OF_MEMORY,0:125,00:09:22,121614936K
19442938_108.extern,OUT_OF_MEMORY,0:125,00:09:22,0
19442938_109,OUT_OF_MEMORY,0:125,00:06:59,
19442938_109.batch,OUT_OF_MEMORY,0:125,00:06:59,117667568K
19442938_109.extern,OUT_OF_MEMORY,0:125,00:06:59,0
19442938_110,OUT_OF_MEMORY,0:125,00:07:18,
19442938_110.batch,OUT_OF_MEMORY,0:125,00:07:18,116088396K
19442938_110.extern,OUT_OF_MEMORY,0:125,00:07:18,0
19442938_111,OUT_OF_MEMORY,0:125,00:07:17,
19442938_111.batch,OUT_OF_MEMORY,0:125,00:07:17,117097100K
19442938_111.extern,OUT_OF_MEMORY,0:125,00:07:17,0
19442938_112,OUT_OF_MEMORY,0:125,00:07:34,
19442938_112.batch,OUT_OF_MEMORY,0:125,00:07:34,117801760K
19442938_112.extern,OUT_OF_MEMORY,0:125,00:07:34,0
19442938_113,OUT_OF_MEMORY,0:125,00:16:50,
19442938_113.batch,OUT_OF_MEMORY,0:125,00:16:50,122872564K
19442938_113.extern,OUT_OF_MEMORY,0:125,00:16:50,0
19442938_114,OUT_OF_MEMORY,0:125,00:11:40,
19442938_114.batch,OUT_OF_MEMORY,0:125,00:11:40,120647116K
19442938_114.extern,OUT_OF_MEMORY,0:125,00:11:40,0
19442938_115,OUT_OF_MEMORY,0:125,00:15:38,
19442938_115.batch,OUT_OF_MEMORY,0:125,00:15:38,124477104K
19442938_115.extern,OUT_OF_MEMORY,0:125,00:15:38,0
19442938_116,COMPLETED,0:0,00:00:16,
19442938_116.batch,COMPLETED,0:0,00:00:16,0
19442938_116.extern,COMPLETED,0:0,00:00:16,0
19442938_117,COMPLETED,0:0,00:00:31,
19442938_117.batch,COMPLETED,0:0,00:00:31,0
19442938_117.extern,COMPLETED,0:0,00:00:31,0
19442938_118,COMPLETED,0:0,00:00:23,
19442938_118.batch,COMPLETED,0:0,00:00:23,0
19442938_118.extern,COMPLETED,0:0,00:00:23,0
19442938_119,COMPLETED,0:0,00:00:12,
19442938_119.batch,COMPLETED,0:0,00:00:12,0
19442938_119.extern,COMPLETED,0:0,00:00:12,0
19442938_120,OUT_OF_MEMORY,0:125,00:07:00,
19442938_120.batch,OUT_OF_MEMORY,0:125,00:07:00,99992564K
19442938_120.extern,OUT_OF_MEMORY,0:125,00:07:00,0
19442938_121,COMPLETED,0:0,00:30:03,
19442938_121.batch,COMPLETED,0:0,00:30:03,34201672K
19442938_121.extern,COMPLETED,0:0,00:30:03,0
19442938_122,OUT_OF_MEMORY,0:125,00:03:08,
19442938_122.batch,OUT_OF_MEMORY,0:125,00:03:08,123752040K
19442938_122.extern,OUT_OF_MEMORY,0:125,00:03:08,0
19442938_123,OUT_OF_MEMORY,0:125,00:03:12,
19442938_123.batch,OUT_OF_MEMORY,0:125,00:03:12,104592400K
19442938_123.extern,OUT_OF_MEMORY,0:125,00:03:12,0
19442938_124,COMPLETED,0:0,00:00:05,
19442938_124.batch,COMPLETED,0:0,00:00:05,0
19442938_124.extern,COMPLETED,0:0,00:00:05,0
19442938_125,COMPLETED,0:0,00:00:05,
19442938_125.batch,COMPLETED,0:0,00:00:05,0
19442938_125.extern,COMPLETED,0:0,00:00:05,0
19442938_126,COMPLETED,0:0,00:00:05,
19442938_126.batch,COMPLETED,0:0,00:00:05,0
19442938_126.extern,COMPLETED,0:0,00:00:05,0
19442938_127,COMPLETED,0:0,00:00:03,
19442938_127.batch,COMPLETED,0:0,00:00:03,0
19442938_127.extern,COMPLETED,0:0,00:00:05,0
19442938_128,COMPLETED,0:0,00:00:05,
19442938_128.batch,COMPLETED,0:0,00:00:05,0
19442938_128.extern,COMPLETED,0:0,00:00:05,0
19442938_129,COMPLETED,0:0,00:00:05,
19442938_129.batch,COMPLETED,0:0,00:00:05,0
19442938_129.extern,COMPLETED,0:0,00:00:05,0
19442938_130,COMPLETED,0:0,00:30:04,
19442938_130.batch,COMPLETED,0:0,00:30:04,216484K
19442938_130.extern,COMPLETED,0:0,00:30:04,0
19442938_131,COMPLETED,0:0,00:30:05,
19442938_131.batch,COMPLETED,0:0,00:30:05,172316K
19442938_131.extern,COMPLETED,0:0,00:30:05,0
19442938_132,COMPLETED,0:0,00:30:04,
19442938_132.batch,COMPLETED,0:0,00:30:04,204572K
19442938_132.extern,COMPLETED,0:0,00:30:04,0
19442938_133,OUT_OF_MEMORY,0:125,00:15:33,
19442938_133.batch,OUT_OF_MEMORY,0:125,00:15:33,114287780K
19442938_133.extern,OUT_OF_MEMORY,0:125,00:15:33,0
19442938_134,COMPLETED,0:0,00:30:04,
19442938_134.batch,COMPLETED,0:0,00:30:04,169920K
19442938_134.extern,COMPLETED,0:0,00:30:04,0
19442938_135,COMPLETED,0:0,00:30:04,
19442938_135.batch,COMPLETED,0:0,00:30:04,214828K
19442938_135.extern,COMPLETED,0:0,00:30:04,0
19442938_136,COMPLETED,0:0,00:30:04,
19442938_136.batch,COMPLETED,0:0,00:30:04,229044K
19442938_136.extern,COMPLETED,0:0,00:30:04,0
19442938_137,COMPLETED,0:0,00:30:03,
19442938_137.batch,COMPLETED,0:0,00:30:03,97296K
19442938_137.extern,COMPLETED,0:0,00:30:03,0
19442938_138,COMPLETED,0:0,00:30:05,
19442938_138.batch,COMPLETED,0:0,00:30:05,95172K
19442938_138.extern,COMPLETED,0:0,00:30:05,0
19442938_139,COMPLETED,0:0,00:30:05,
19442938_139.batch,COMPLETED,0:0,00:30:05,106204K
19442938_139.extern,COMPLETED,0:0,00:30:05,0
19442938_140,COMPLETED,0:0,00:30:05,
19442938_140.batch,COMPLETED,0:0,00:30:05,84072K
19442938_140.extern,COMPLETED,0:0,00:30:05,0
19442938_141,COMPLETED,0:0,00:30:04,
19442938_141.batch,COMPLETED,0:0,00:30:04,98080K
19442938_141.extern,COMPLETED,0:0,00:30:04,0
19442938_142,COMPLETED,0:0,00:30:04,
19442938_142.batch,COMPLETED,0:0,00:30:04,106508K
19442938_142.extern,COMPLETED,0:0,00:30:04,0
19442938_143,COMPLETED,0:0,00:30:07,
19442938_143.batch,COMPLETED,0:0,00:30:07,99028K
19442938_143.extern,COMPLETED,0:0,00:30:07,0
19442938_144,COMPLETED,0:0,00:30:05,
19442938_144.batch,COMPLETED,0:0,00:30:05,218876K
19442938_144.extern,COMPLETED,0:0,00:30:05,0
19442938_145,OUT_OF_MEMORY,0:125,00:10:09,
19442938_145.batch,OUT_OF_MEMORY,0:125,00:10:09,120140656K
19442938_145.extern,OUT_OF_MEMORY,0:125,00:10:09,0
19442938_146,OUT_OF_MEMORY,0:125,00:10:46,
19442938_146.batch,OUT_OF_MEMORY,0:125,00:10:46,119988924K
19442938_146.extern,OUT_OF_MEMORY,0:125,00:10:47,0
19442938_147,OUT_OF_MEMORY,0:125,00:10:59,
19442938_147.batch,OUT_OF_MEMORY,0:125,00:10:59,107805956K
19442938_147.extern,OUT_OF_MEMORY,0:125,00:10:59,0
19442938_148,OUT_OF_MEMORY,0:125,00:07:13,
19442938_148.batch,OUT_OF_MEMORY,0:125,00:07:13,122211420K
19442938_148.extern,OUT_OF_MEMORY,0:125,00:07:13,0
19442938_149,COMPLETED,0:0,00:30:06,
19442938_149.batch,COMPLETED,0:0,00:30:06,1380156K
19442938_149.extern,COMPLETED,0:0,00:30:06,0
19442938_150,COMPLETED,0:0,00:30:04,
19442938_150.batch,COMPLETED,0:0,00:30:04,10366084K
19442938_150.extern,COMPLETED,0:0,00:30:04,0
19442938_151,OUT_OF_MEMORY,0:125,00:11:02,
19442938_151.batch,OUT_OF_MEMORY,0:125,00:11:02,119196520K
19442938_151.extern,OUT_OF_MEMORY,0:125,00:11:02,0
19442938_152,OUT_OF_MEMORY,0:125,00:10:59,
19442938_152.batch,OUT_OF_MEMORY,0:125,00:10:59,94745740K
19442938_152.extern,OUT_OF_MEMORY,0:125,00:10:59,0
19442938_153,OUT_OF_MEMORY,0:125,00:07:58,
19442938_153.batch,OUT_OF_MEMORY,0:125,00:07:58,120370612K
