instance_id,instance,family,target_run,target_status,target_validation,target_detail,any_kat_incumbent,kat_incumbent_run_count,kat_incumbent_runs,any_external_incumbent,external_incumbent_run_count,external_incumbent_runs
11,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=31; pycsp3-extra-ortools-1t-rerun1-20260505=24.0; pycsp3-extra-ortools-1t-verbose1-20260509=24.0; pycsp3-extra-ortools-20260505=24.0
12,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=25; pycsp3-extra-ortools-1t-rerun1-20260505=24.0; pycsp3-extra-ortools-1t-verbose1-20260509=24.0; pycsp3-extra-ortools-20260505=22.0
13,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-1_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=26; pycsp3-extra-ortools-1t-rerun1-20260505=23.0; pycsp3-extra-ortools-1t-verbose1-20260509=23.0; pycsp3-extra-ortools-20260505=22.0
14,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-2_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=24; pycsp3-extra-ortools-1t-rerun1-20260505=22.0; pycsp3-extra-ortools-1t-verbose1-20260509=22.0; pycsp3-extra-ortools-20260505=22.0
15,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=22; pycsp3-extra-ortools-1t-rerun1-20260505=20.0; pycsp3-extra-ortools-1t-verbose1-20260509=20.0; pycsp3-extra-ortools-20260505=19.0
16,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=19; pycsp3-extra-ortools-1t-rerun1-20260505=17.0; pycsp3-extra-ortools-1t-verbose1-20260509=17.0; pycsp3-extra-ortools-20260505=17.0
17,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=22; pycsp3-extra-ortools-1t-rerun1-20260505=19.0; pycsp3-extra-ortools-1t-verbose1-20260509=19.0; pycsp3-extra-ortools-20260505=19.0
18,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=19; pycsp3-extra-ortools-1t-rerun1-20260505=17.0; pycsp3-extra-ortools-1t-verbose1-20260509=17.0; pycsp3-extra-ortools-20260505=17.0
19,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=17; pycsp3-extra-ortools-1t-rerun1-20260505=15.0; pycsp3-extra-ortools-1t-verbose1-20260509=15.0; pycsp3-extra-ortools-20260505=15.0
20,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=17; pycsp3-extra-ortools-1t-rerun1-20260505=17.0; pycsp3-extra-ortools-1t-verbose1-20260509=17.0; pycsp3-extra-ortools-20260505=16.0
21,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-000-0_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=37.0; pycsp3-extra-ortools-1t-verbose1-20260509=37.0; pycsp3-extra-ortools-20260505=25.0
22,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-0_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=32.0; pycsp3-extra-ortools-1t-verbose1-20260509=32.0; pycsp3-extra-ortools-20260505=24.0
23,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-1_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=28.0; pycsp3-extra-ortools-1t-verbose1-20260509=28.0; pycsp3-extra-ortools-20260505=24.0
24,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-2_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=29.0; pycsp3-extra-ortools-1t-verbose1-20260509=29.0; pycsp3-extra-ortools-20260505=22.0
25,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-050-0_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=31.0; pycsp3-extra-ortools-1t-verbose1-20260509=31.0; pycsp3-extra-ortools-20260505=20.0
26,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-050-1_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=27; pycsp3-extra-ortools-1t-rerun1-20260505=23.0; pycsp3-extra-ortools-1t-verbose1-20260509=23.0; pycsp3-extra-ortools-20260505=21.0
27,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-050-2_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=27; pycsp3-extra-ortools-1t-rerun1-20260505=35.0; pycsp3-extra-ortools-1t-verbose1-20260509=35.0; pycsp3-extra-ortools-20260505=21.0
28,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-070-0_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=22; pycsp3-extra-ortools-1t-rerun1-20260505=22.0; pycsp3-extra-ortools-1t-verbose1-20260509=22.0; pycsp3-extra-ortools-20260505=19.0
29,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-070-1_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=24; pycsp3-extra-ortools-1t-rerun1-20260505=25.0; pycsp3-extra-ortools-1t-verbose1-20260509=25.0; pycsp3-extra-ortools-20260505=20.0
30,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-070-2_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=24; pycsp3-extra-ortools-1t-rerun1-20260505=31.0; pycsp3-extra-ortools-1t-verbose1-20260509=31.0; pycsp3-extra-ortools-20260505=20.0
31,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-100-0_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=23; pycsp3-extra-ortools-1t-rerun1-20260505=23.0; pycsp3-extra-ortools-1t-verbose1-20260509=23.0; pycsp3-extra-ortools-20260505=18.0
32,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-100-1_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=23; pycsp3-extra-ortools-1t-rerun1-20260505=23.0; pycsp3-extra-ortools-1t-verbose1-20260509=23.0; pycsp3-extra-ortools-20260505=19.0
33,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-100-2_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=25; pycsp3-extra-ortools-1t-rerun1-20260505=22.0; pycsp3-extra-ortools-1t-verbose1-20260509=22.0; pycsp3-extra-ortools-20260505=18.0
34,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-150-0_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=20; pycsp3-extra-ortools-1t-rerun1-20260505=23.0; pycsp3-extra-ortools-1t-verbose1-20260509=23.0; pycsp3-extra-ortools-20260505=16.0
35,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-150-1_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=23; pycsp3-extra-ortools-1t-rerun1-20260505=21.0; pycsp3-extra-ortools-1t-verbose1-20260509=21.0; pycsp3-extra-ortools-20260505=17.0
36,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-150-2_c24.xml.lzma,AircraftAssemblyLine,1173b3f4-direct-order-extprop8196-s40-20260512,,skipped_no_incumbent,,0,0,,1,4,ace64g-rr-20260505=20; pycsp3-extra-ortools-1t-rerun1-20260505=25.0; pycsp3-extra-ortools-1t-verbose1-20260509=25.0; pycsp3-extra-ortools-20260505=13.0
89,competition/2022-2025/COP22to25/Benzenoide-09_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,2,1173b3f4-scip-direct-order-extge-eager-dynwatch=748; 835f8aaf-scip-direct-order-dynamic=901,1,1,ace64g-rr-20260505=102
90,competition/2022-2025/COP22to25/Benzenoide-10_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,1,ace64g-rr-20260505=92
91,competition/2022-2025/COP22to25/Benzenoide-11_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,1,ace64g-rr-20260505=100
92,competition/2022-2025/COP22to25/Benzenoide-12_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,,skipped_no_incumbent,,0,0,,1,1,ace64g-rr-20260505=87
93,competition/2022-2025/COP22to25/Benzenoide-13_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,,skipped_no_incumbent,,0,0,,1,1,ace64g-rr-20260505=95
94,competition/2022-2025/COP22to25/Benzenoide-14_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,0,0,
95,competition/2022-2025/COP22to25/Benzenoide-15_c23.xml.lzma,Benzenoide,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,0,0,
101,competition/2022-2025/COP22to25/BinPacking-n4c1w1a_c24.xml.lzma,BinPacking,1173b3f4-direct-order-extprop8196-s40-20260512,,skipped_no_incumbent,,0,0,,1,1,ace64g-rr-20260505=241
133,competition/2022-2025/COP22to25/BusScheduling-r3_c25.xml.lzma,BusScheduling,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,5,1d1a452a-log-scop=16; 31b6e7a3-scip-log-scop-rerun2=16; 835f8aaf-scip-log-scop-dynamic=16; 9c976720-scip-log-scop-dynamic=16; bd3c9f7d-scip-log-scop-dynamic=16,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=16.0; pycsp3-extra-ortools-1t-verbose1-20260509=16.0; pycsp3-extra-ortools-20260505=16.0
136,competition/2022-2025/COP22to25/BusScheduling-r5a_c25.xml.lzma,BusScheduling,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,5,1d1a452a-log-scop=32; 31b6e7a3-scip-log-scop-rerun2=32; 835f8aaf-scip-log-scop-dynamic=32; 9c976720-scip-log-scop-dynamic=32; bd3c9f7d-scip-log-scop-dynamic=32,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=30.0; pycsp3-extra-ortools-1t-verbose1-20260509=30.0; pycsp3-extra-ortools-20260505=28.0
160,competition/2022-2025/COP22to25/Cargo-01-0s-1913_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=40121; 1d1a452a-log-scop=25688; 31b6e7a3-scip-log-scop-rerun2=0; 31b6e7a3-scip-rerun1=40121; 835f8aaf-scip-log-scop-dynamic=0; 9c976720-scip-direct-order-dynamic=40121; 9c976720-scip-log-scop-dynamic=0; bd3c9f7d-scip-direct-order-dynamic=40121; bd3c9f7d-scip-log-scop-dynamic=0,1,4,ace64g-rr-20260505=0; pycsp3-extra-ortools-1t-rerun1-20260505=0.0; pycsp3-extra-ortools-1t-verbose1-20260509=0.0; pycsp3-extra-ortools-20260505=0.0
161,competition/2022-2025/COP22to25/Cargo-02-0s-1139_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=25922; 1d1a452a-log-scop=39573; 31b6e7a3-scip-log-scop-rerun2=25; 31b6e7a3-scip-rerun1=25922; 835f8aaf-scip-log-scop-dynamic=25; 9c976720-scip-direct-order-dynamic=25922; 9c976720-scip-log-scop-dynamic=25; bd3c9f7d-scip-direct-order-dynamic=25922; bd3c9f7d-scip-log-scop-dynamic=25,1,4,ace64g-rr-20260505=25; pycsp3-extra-ortools-1t-rerun1-20260505=25.0; pycsp3-extra-ortools-1t-verbose1-20260509=25.0; pycsp3-extra-ortools-20260505=25.0
162,competition/2022-2025/COP22to25/Cargo-04-1s-626_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=13868; 1d1a452a-log-scop=34775; 31b6e7a3-scip-log-scop-rerun2=714; 31b6e7a3-scip-rerun1=13868; 835f8aaf-scip-log-scop-dynamic=714; 9c976720-scip-direct-order-dynamic=13868; 9c976720-scip-log-scop-dynamic=714; bd3c9f7d-scip-direct-order-dynamic=13868; bd3c9f7d-scip-log-scop-dynamic=714,1,4,ace64g-rr-20260505=714; pycsp3-extra-ortools-1t-rerun1-20260505=714.0; pycsp3-extra-ortools-1t-verbose1-20260509=714.0; pycsp3-extra-ortools-20260505=714.0
163,competition/2022-2025/COP22to25/Cargo-05-1s-954_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=32605; 1d1a452a-log-scop=37562; 31b6e7a3-scip-log-scop-rerun2=2883; 31b6e7a3-scip-rerun1=32605; 835f8aaf-scip-log-scop-dynamic=2883; 9c976720-scip-direct-order-dynamic=32605; 9c976720-scip-log-scop-dynamic=2883; bd3c9f7d-scip-direct-order-dynamic=32605; bd3c9f7d-scip-log-scop-dynamic=9332,1,4,ace64g-rr-20260505=2883; pycsp3-extra-ortools-1t-rerun1-20260505=2883.0; pycsp3-extra-ortools-1t-verbose1-20260509=2883.0; pycsp3-extra-ortools-20260505=2883.0
164,competition/2022-2025/COP22to25/Cargo-06-1s-3927_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=56107; 1d1a452a-log-scop=18030; 31b6e7a3-scip-log-scop-rerun2=13788; 31b6e7a3-scip-rerun1=56107; 835f8aaf-scip-log-scop-dynamic=12624; 9c976720-scip-direct-order-dynamic=56107; 9c976720-scip-log-scop-dynamic=14849; bd3c9f7d-scip-direct-order-dynamic=56107; bd3c9f7d-scip-log-scop-dynamic=18001,1,4,ace64g-rr-20260505=6778; pycsp3-extra-ortools-1t-rerun1-20260505=3394.0; pycsp3-extra-ortools-1t-verbose1-20260509=3394.0; pycsp3-extra-ortools-20260505=3394.0
165,competition/2022-2025/COP22to25/Cargo-07-1s-133_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=33824; 1d1a452a-log-scop=30609; 31b6e7a3-scip-log-scop-rerun2=7303; 31b6e7a3-scip-rerun1=33824; 835f8aaf-scip-log-scop-dynamic=378; 9c976720-scip-direct-order-dynamic=33824; 9c976720-scip-log-scop-dynamic=350; bd3c9f7d-scip-direct-order-dynamic=33824; bd3c9f7d-scip-log-scop-dynamic=1663,1,4,ace64g-rr-20260505=328; pycsp3-extra-ortools-1t-rerun1-20260505=328.0; pycsp3-extra-ortools-1t-verbose1-20260509=328.0; pycsp3-extra-ortools-20260505=328.0
166,competition/2022-2025/COP22to25/Cargo-08-222f-3475_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,5,1d1a452a-log-scop=99532; 31b6e7a3-scip-log-scop-rerun2=90311; 835f8aaf-scip-log-scop-dynamic=81832; 9c976720-scip-log-scop-dynamic=68848; bd3c9f7d-scip-log-scop-dynamic=99313,1,4,ace64g-rr-20260505=20679; pycsp3-extra-ortools-1t-rerun1-20260505=20679.0; pycsp3-extra-ortools-1t-verbose1-20260509=20679.0; pycsp3-extra-ortools-20260505=20679.0
167,competition/2022-2025/COP22to25/Cargo-09-1s-18_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,5,1d1a452a-log-scop=118426; 31b6e7a3-scip-log-scop-rerun2=22246; 835f8aaf-scip-log-scop-dynamic=16678; 9c976720-scip-log-scop-dynamic=16944; bd3c9f7d-scip-log-scop-dynamic=59664,1,4,ace64g-rr-20260505=265; pycsp3-extra-ortools-1t-rerun1-20260505=265.0; pycsp3-extra-ortools-1t-verbose1-20260509=265.0; pycsp3-extra-ortools-20260505=265.0
168,competition/2022-2025/COP22to25/Cargo-10-15966f-2060_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,5,1d1a452a-log-scop=65005; 31b6e7a3-scip-log-scop-rerun2=55464; 835f8aaf-scip-log-scop-dynamic=44291; 9c976720-scip-log-scop-dynamic=46129; bd3c9f7d-scip-log-scop-dynamic=42600,1,4,ace64g-rr-20260505=5645; pycsp3-extra-ortools-1t-rerun1-20260505=5645.0; pycsp3-extra-ortools-1t-verbose1-20260509=5645.0; pycsp3-extra-ortools-20260505=5645.0
169,competition/2022-2025/COP22to25/Cargo-12-1422f-1644_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=60381.0; pycsp3-extra-ortools-1t-verbose1-20260509=60973.0; pycsp3-extra-ortools-20260505=20685.0
170,competition/2022-2025/COP22to25/Cargo-16-10720f-4243_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=125073.0; pycsp3-extra-ortools-1t-verbose1-20260509=125269.0; pycsp3-extra-ortools-20260505=78930.0
171,competition/2022-2025/COP22to25/Cargo-19-31058f-2548_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=174718.0; pycsp3-extra-ortools-1t-verbose1-20260509=174718.0; pycsp3-extra-ortools-20260505=65467.0
172,competition/2022-2025/COP22to25/Cargo-20-27613f-2435_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,0,0,,1,3,pycsp3-extra-ortools-1t-rerun1-20260505=116202.0; pycsp3-extra-ortools-1t-verbose1-20260509=116202.0; pycsp3-extra-ortools-20260505=72795.0
173,competition/2022-2025/COP22to25/Cargo-22_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=37202; 1d1a452a-log-scop=31369; 31b6e7a3-scip-log-scop-rerun2=884; 31b6e7a3-scip-rerun1=37202; 835f8aaf-scip-log-scop-dynamic=884; 9c976720-scip-direct-order-dynamic=37202; 9c976720-scip-log-scop-dynamic=884; bd3c9f7d-scip-direct-order-dynamic=37202; bd3c9f7d-scip-log-scop-dynamic=3502,1,4,ace64g-rr-20260505=884; pycsp3-extra-ortools-1t-rerun1-20260505=884.0; pycsp3-extra-ortools-1t-verbose1-20260509=884.0; pycsp3-extra-ortools-20260505=884.0
174,competition/2022-2025/COP22to25/Cargo-24_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=18968; 1d1a452a-log-scop=42839; 31b6e7a3-scip-log-scop-rerun2=0; 31b6e7a3-scip-rerun1=18968; 835f8aaf-scip-log-scop-dynamic=0; 9c976720-scip-direct-order-dynamic=18968; 9c976720-scip-log-scop-dynamic=0; bd3c9f7d-scip-direct-order-dynamic=18968; bd3c9f7d-scip-log-scop-dynamic=0,1,4,ace64g-rr-20260505=0; pycsp3-extra-ortools-1t-rerun1-20260505=0.0; pycsp3-extra-ortools-1t-verbose1-20260509=0.0; pycsp3-extra-ortools-20260505=0.0
175,competition/2022-2025/COP22to25/Cargo-25_c24.xml.lzma,Cargo,1173b3f4-direct-order-extprop8196-s40-20260512,unknown,skipped_no_incumbent,,1,9,1d1a452a-direct-order=26749; 1d1a452a-log-scop=33345; 31b6e7a3-scip-log-scop-rerun2=0; 31b6e7a3-scip-rerun1=26749; 835f8aaf-scip-log-scop-dynamic=0; 9c976720-scip-direct-order-dynamic=26749; 9c976720-scip-log-scop-dynamic=0; bd3c9f7d-scip-direct-order-dynamic=26749; bd3c9f7d-scip-log-scop-dynamic=0,1,4,ace64g-rr-20260505=0; pycsp3-extra-ortools-1t-rerun1-20260505=0.0; pycsp3-extra-ortools-1t-verbose1-20260509=0.0; pycsp3-extra-ortools-20260505=0.0
