instance_id,instance,family,row_present,row_nonempty,log_present,values_present,status,reason,detail,incumbent,validation,sat_started,failure_class,current_stage,last_completed_stage,log_outcome,wctime,cputime,maxrss_kib,maxmm_kib,maxvm_kib,timeout_flag,memout_flag,exitstatus,slurm_task_id,slurm_state,slurm_exit_code,slurm_elapsed,slurm_maxrss,first_sat_start_ms,last_sat_start_ms,sat_rounds,sat_solve_done_rounds,sat_solve_ms_total,source_constraints,normalized_constraints,propagate_ms,normalize_ms,lower_ms,post_lower_ms,root_lp_ms,preencode_ms,encode_ms,sat_vars,sat_clauses,sat_init_vars,sat_init_clauses,ext_ge_specs,relaxed_circuits,lowered_int_vars,lowered_bool_vars,lowered_linear_atoms,lowered_table_atoms,lowered_table_tuples,lowered_alldiff_atoms,lowered_circuit_atoms,lowered_logical_clauses,circuit_cegar_failures,circuit_cegar_rounds,circuit_cegar_added_clauses,cumulative_cegar_failures,cumulative_cegar_rounds,cumulative_cegar_added_clauses,cop_cegar_failures,cop_cegar_rounds,cop_cegar_added_clauses,baseline_status,baseline_sat_started,baseline_stage,baseline_outcome,log_path,values_path
11,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-00-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,relaxation,TO,1800.2,1792.5,7889972,7890904,8286876,true,false,36608,11,COMPLETED,0:0,00:30:05,,73000,1798000,977,976,1604441,2221,2221,5,0,12809,1749,0,4306,52798,10541577,30306780,10541577,30306780,0,0,3075,1953278,1470862,0,0,0,0,3216557,0,0,0,976,977,978,0,977,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442949-11-11/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442949-11-11/values.log
12,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,0,timeout_before_sat,encode(order-ge),preencode(order-ge),TO,1800.88,1793.55,33587184,33545304,35511236,true,false,36608,12,COMPLETED,0:0,00:30:05,,,,0,0,0,1939,1939,4,0,173573,34558,0,44701,,,,,,,,3850431,9469434,9854765,0,0,0,0,22286948,0,0,0,0,0,0,0,0,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442950-12-12/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442950-12-12/values.log
13,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-1_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,encode(order-ge),TO,1801.48,1782.53,70833784,71821492,73558568,true,false,36608,13,COMPLETED,0:0,00:30:05,,551000,551000,1,0,0,1836,1836,4,0,173010,38249,0,67248,244576,61337064,488577882,61337064,488577882,0,0,3850427,9443562,9849199,0,0,0,0,22234045,0,0,0,0,1,0,0,1,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442951-13-13/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442951-13-13/values.log
14,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-20-2_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,encode(order-ge),TO,1801.53,1784.25,72202828,72246508,73984608,true,false,36608,14,COMPLETED,0:0,00:30:05,,584000,584000,1,0,0,1927,1927,4,0,180476,54963,0,68062,251484,61695332,503891067,61695332,503891067,0,0,3850419,9482068,9847076,0,0,0,0,22299800,0,0,0,0,1,0,0,1,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442952-14-14/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442952-14-14/values.log
15,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,0,timeout_before_sat,encode(order-ge),preencode(order-ge),TO,1800.61,1794.98,27880720,27578616,30366120,true,false,36608,15,COMPLETED,0:0,00:30:05,,,,0,0,0,1409,1409,3,0,130377,26458,0,36677,,,,,,,,3158733,7758284,8099628,0,0,0,0,18374715,0,0,0,0,0,0,0,0,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442953-15-15/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442953-15-15/values.log
16,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-1_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,0,timeout_before_sat,encode(order-ge),preencode(order-ge),TO,1800.59,1794.27,27893372,27691540,30283140,true,false,36608,16,COMPLETED,0:0,00:30:05,,,,0,0,0,1491,1491,3,0,130612,26676,0,37120,,,,,,,,3158737,7793352,8099570,0,0,0,0,18926141,0,0,0,0,0,0,0,0,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442954-16-16/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442954-16-16/values.log
17,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-50-2_c23.xml.lzma,AircraftAssemblyLine,1,0,1,1,,,,,skipped_no_incumbent,1,oom_after_sat,sat,encode,MO,1738.58,1728.68,124613908,124529028,132342664,false,false,35072,17,OUT_OF_MEMORY,0:125,00:29:05,,813000,813000,1,0,0,,,3,0,133368,28362,0,47309,579008,48770187,1151641656,48770187,1151641656,0,0,3158737,7859370,8113641,0,0,0,0,18333038,,,,,,,,,,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442955-17-17/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442955-17-17/values.log
18,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-0_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,0,timeout_before_sat,encode(order-ge),preencode(order-ge),TO,1800.51,1795.22,21118504,21121564,23636024,true,false,36608,18,COMPLETED,0:0,00:30:08,,,,0,0,0,1174,1174,3,0,101463,17135,0,31027,,,,,,,,2697609,6645880,6932656,0,0,0,0,15974958,0,0,0,0,0,0,0,0,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442956-18-18/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442956-18-18/values.log
19,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-1_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,0,timeout_before_sat,encode(order-ge),preencode(order-ge),TO,1800.64,1795.23,22003560,21883744,25069152,true,false,36608,19,COMPLETED,0:0,00:30:05,,,,0,0,0,1235,1235,3,0,99040,17604,0,31070,,,,,,,,2697605,6425966,6916588,0,0,0,0,16267074,0,0,0,0,0,0,0,0,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442957-19-19/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442957-19-19/values.log
20,competition/2022-2025/COP22to25/AircraftAssemblyLine-2-178-70-2_c23.xml.lzma,AircraftAssemblyLine,1,1,1,1,sat,0,"best incumbent shown; guarded improvement search stopped before optimality proof: relaxation produced 10489962 clauses in one round, exceeding limit 1000000",40,valid,1,incumbent,decode,encode,,1245.24,1195.93,84194328,84844764,93990872,false,false,0,20,COMPLETED,0:0,00:20:48,,690000,1086000,2,2,421644,1254,1254,3,0,101709,17727,0,36596,508882,40200486,1068466908,40200486,1068466908,0,0,2697609,6647828,6935712,0,0,0,0,15546714,0,0,0,0,2,0,0,2,0,unknown,0,preencode(order-ge),TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442958-20-20/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442958-20-20/values.log
21,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-000-0_c24.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,relaxation,TO,1800.41,1792.24,22605604,22317776,24626332,true,false,36608,21,COMPLETED,0:0,00:30:05,,214000,1799000,394,393,1377191,10219,10219,23,0,38295,5153,0,10991,154885,28790948,110321382,28790948,110321382,0,0,9487,5135606,4301518,0,0,0,0,8149389,0,0,0,393,394,419,0,394,0,unknown,0,lower,TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442959-21-21/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442959-21-21/values.log
22,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-0_c24.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,decode,sat,TO,1800.35,1794.08,22590296,22593208,23890932,true,false,36608,22,COMPLETED,0:0,00:30:05,,202000,1798000,425,425,1381265,9725,9725,22,0,36470,5163,0,10529,145707,27583828,99665081,27583828,99665081,0,0,9147,4909542,4096694,0,0,0,0,7819683,0,0,0,424,425,573,0,425,0,unknown,0,lower,TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442960-22-22/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442960-22-22/values.log
23,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-1_c24.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,relaxation,TO,1800.3,1792.35,21862452,21814256,23980756,true,false,36608,23,COMPLETED,0:0,00:30:05,,210000,1799000,592,591,1278803,9385,9385,22,0,37863,5230,0,10824,151822,28101323,107152660,28101323,107152660,0,0,9147,5029468,4201071,0,0,0,0,8011618,0,0,0,591,592,608,0,592,0,unknown,0,lower,TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442961-23-23/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442961-23-23/values.log
24,competition/2022-2025/COP22to25/AircraftAssemblyLine-3-628-020-2_c24.xml.lzma,AircraftAssemblyLine,1,1,1,1,unknown,timeout_signal,terminated_by_signal,,skipped_no_incumbent,1,timeout_after_sat,sat,relaxation,TO,1800.37,1793.14,21607264,21249104,23357200,true,false,36608,24,COMPLETED,0:0,00:30:05,,203000,1797000,252,251,1456003,9558,9558,23,0,36620,4937,0,10641,146975,27647563,103316288,27647563,103316288,0,0,9147,4905652,4111110,0,0,0,0,7824552,0,0,0,251,252,538,0,252,0,unknown,0,lower,TO,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442962-24-24/output.log,docs/logs/10c9c43b-dirty-noinc203-cegar-norootlp/runsolver/runsolver-kat-cop1000-noinc203-order-direct-mdd-tl-extprop8196-s40-cegar-norootlp-20260513-10c9c43b-dirty-q10609-19442962-24-24/values.log
